country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Argentina,Liga Profesional de Fútbol,2021,Talleres,Aldosivi,28/11/21,Round 23,https://www.sofascore.com/aldosivi-talleres/kobsLLo,kobsLLo,https://www.sofascore.com/api/v1/event/kobsLLo/h2h/events,"('2-0',)","('0-0',)","('',)","('80;50;',)","('80;50;-',)","(9626500,)","('https://www.sofascore.com/api/v1/event/9626500/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Patronato de Paraná,Godoy Cruz,28/11/21,Round 23,https://www.sofascore.com/godoy-cruz-patronato-de-parana/zwcsQzr,zwcsQzr,https://www.sofascore.com/api/v1/event/zwcsQzr/h2h/events,"('0-3',)","('0-1',)","('86;81;39;',)","('',)","('-86;81;39;',)","(9626496,)","('https://www.sofascore.com/api/v1/event/9626496/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Estudiantes de La Plata,Vélez Sarsfield,28/11/21,Round 23,https://www.sofascore.com/velez-sarsfield-estudiantes-de-la-plata/gobsiob,gobsiob,https://www.sofascore.com/api/v1/event/gobsiob/h2h/events,"('1-0',)","('1-0',)","('',)","('35;',)","('35;-',)","(9626495,)","('https://www.sofascore.com/api/v1/event/9626495/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Rosario Central,River Plate,03:00,Round 23,https://www.sofascore.com/rosario-central-river-plate/lobsrob,lobsrob,https://www.sofascore.com/api/v1/event/lobsrob/h2h/events,"('2-2',)","('1-0',)","('75;68;',)","('58;28;',)","('58;28;-75;68;',)","(9626492,)","('https://www.sofascore.com/api/v1/event/9626492/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Argentinos Juniors,Gimnasia y Esgrima,05:15,Round 23,https://www.sofascore.com/argentinos-juniors-gimnasia-y-esgrima/fobsqob,fobsqob,https://www.sofascore.com/api/v1/event/fobsqob/h2h/events,"('3-0',)","('1-0',)","('',)","('79;48;12;',)","('79;48;12;-',)","(9626489,)","('https://www.sofascore.com/api/v1/event/9626489/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Defensa y Justicia,Colón de Santa Fe,05:15,Round 23,https://www.sofascore.com/defensa-y-justicia-colon-de-santa-fe/hobsOLo,hobsOLo,https://www.sofascore.com/api/v1/event/hobsOLo/h2h/events,"('1-1',)","('0-0',)","('71;',)","('90;',)","('90;-71;',)","(9626494,)","('https://www.sofascore.com/api/v1/event/9626494/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Unión de Santa Fe,Atlético Tucumán,30/11/21,Round 23,https://www.sofascore.com/atletico-tucuman-union-de-santa-fe/eobsILo,eobsILo,https://www.sofascore.com/api/v1/event/eobsILo/h2h/events,"('0-1',)","('0-1',)","('29;',)","('',)","('-29;',)","(8449050,)","('https://www.sofascore.com/api/v1/event/8449050/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Racing Club,Lanús,30/11/21,Round 23,https://www.sofascore.com/lanus-racing-club/pobstob,pobstob,https://www.sofascore.com/api/v1/event/pobstob/h2h/events,"('1-0',)","('0-0',)","('',)","('77;',)","('77;-',)","(8465722,)","('https://www.sofascore.com/api/v1/event/8465722/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Boca Juniors,Newell's Old Boys,30/11/21,Round 23,https://www.sofascore.com/newells-old-boys-boca-juniors/cobsmob,cobsmob,https://www.sofascore.com/api/v1/event/cobsmob/h2h/events,"('1-1',)","('1-0',)","('80;',)","('31;',)","('31;-80;',)","(8296559,)","('https://www.sofascore.com/api/v1/event/8296559/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Central Córdoba,Arsenal de Sarandí,30/11/21,Round 23,https://www.sofascore.com/central-cordoba-arsenal-de-sarandi/wobsBnB,wobsBnB,https://www.sofascore.com/api/v1/event/wobsBnB/h2h/events,"('2-2',)","('1-1',)","('60;5;',)","('71;13;',)","('71;13;-60;5;',)","(8448938,)","('https://www.sofascore.com/api/v1/event/8448938/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Platense,CA Huracán,30/11/21,Round 23,https://www.sofascore.com/ca-huracan-platense/EcdsMLo,EcdsMLo,https://www.sofascore.com/api/v1/event/EcdsMLo/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","('',)","('https://www.sofascore.com/api/v1/event//incidents',)"
Argentina,Liga Profesional de Fútbol,2021,San Lorenzo,Sarmiento,01/12/21,Round 23,https://www.sofascore.com/sarmiento-san-lorenzo/bobsNWq,bobsNWq,https://www.sofascore.com/api/v1/event/bobsNWq/h2h/events,"('1-0',)","('1-0',)","('',)","('37;',)","('37;-',)","(7354144,)","('https://www.sofascore.com/api/v1/event/7354144/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,Banfield,Independiente,01/12/21,Round 23,https://www.sofascore.com/banfield-independiente/jobsuob,jobsuob,https://www.sofascore.com/api/v1/event/jobsuob/h2h/events,"('0-1',)","('0-0',)","('68;',)","('',)","('-68;',)","(8465720,)","('https://www.sofascore.com/api/v1/event/8465720/incidents',)"
Argentina,Liga Profesional de Fútbol,2021,CA Huracán,Patronato de Paraná,24/11/21,Round 22,https://www.sofascore.com/ca-huracan-patronato-de-parana/EcdsQzr,EcdsQzr,https://www.sofascore.com/api/v1/event/EcdsQzr/h2h/events,"('1-0',)","('0-0',)","('',)","('85;',)","('85;-',)","(9626482,)","('https://www.sofascore.com/api/v1/event/9626482/incidents',)"
