country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Austria,Bundesliga,21/22,Red Bull Salzburg,Flyeralarm Admira,23:00,Round 15,https://www.sofascore.com/flyeralarm-admira-red-bull-salzburg/WPsaQ,WPsaQ,https://www.sofascore.com/api/v1/event/WPsaQ/h2h/events,"('0-1',)","('0-0',)","('81;',)","('',)","('-81;',)","(9587547,)","('https://www.sofascore.com/api/v1/event/9587547/incidents',)"
Austria,Bundesliga,21/22,SK Rapid Wien,SC Rheindorf Altach,23:00,Round 15,https://www.sofascore.com/sc-rheindorf-altach-sk-rapid-wien/fQsgXb,fQsgXb,https://www.sofascore.com/api/v1/event/fQsgXb/h2h/events,"('2-1',)","('0-0',)","('58;',)","('90;82;',)","('90;82;-58;',)","(9587536,)","('https://www.sofascore.com/api/v1/event/9587536/incidents',)"
Austria,Bundesliga,21/22,SV Ried,TSV Hartberg,23:00,Round 15,https://www.sofascore.com/tsv-hartberg-sv-ried/ZPsAQ,ZPsAQ,https://www.sofascore.com/api/v1/event/ZPsAQ/h2h/events,"('1-1',)","('0-1',)","('45;',)","('56;',)","('56;-45;',)","(9587517,)","('https://www.sofascore.com/api/v1/event/9587517/incidents',)"
Austria,Bundesliga,21/22,Austria Klagenfurt,Austria Wien,21/11/21,Round 15,https://www.sofascore.com/austria-klagenfurt-austria-wien/dUsepr,dUsepr,https://www.sofascore.com/api/v1/event/dUsepr/h2h/events,"('1-1',)","('0-0',)","('57;',)","('71;',)","('71;-57;',)","(9587585,)","('https://www.sofascore.com/api/v1/event/9587585/incidents',)"
Austria,Bundesliga,21/22,WSG Tirol,Wolfsberger AC,21/11/21,Round 15,https://www.sofascore.com/wsg-tirol-wolfsberger-ac/BQsfic,BQsfic,https://www.sofascore.com/api/v1/event/BQsfic/h2h/events,"('2-2',)","('1-1',)","('60;5;',)","('66;32;',)","('66;32;-60;5;',)","(9587507,)","('https://www.sofascore.com/api/v1/event/9587507/incidents',)"
Austria,Bundesliga,21/22,SK Sturm Graz,LASK,21/11/21,Round 15,https://www.sofascore.com/lask-sk-sturm-graz/bQsiQ,bQsiQ,https://www.sofascore.com/api/v1/event/bQsiQ/h2h/events,"('1-3',)","('0-0',)","('90;83;66;',)","('85;',)","('85;-90;83;66;',)","(9587545,)","('https://www.sofascore.com/api/v1/event/9587545/incidents',)"
Austria,Bundesliga,21/22,Austria Wien,Red Bull Salzburg,06/11/21,Round 14,https://www.sofascore.com/austria-wien-red-bull-salzburg/WPsdU,WPsdU,https://www.sofascore.com/api/v1/event/WPsdU/h2h/events,"('0-1',)","('0-0',)","('65;',)","('',)","('-65;',)","(9587526,)","('https://www.sofascore.com/api/v1/event/9587526/incidents',)"
Austria,Bundesliga,21/22,Flyeralarm Admira,SV Ried,06/11/21,Round 14,https://www.sofascore.com/flyeralarm-admira-sv-ried/ZPsaQ,ZPsaQ,https://www.sofascore.com/api/v1/event/ZPsaQ/h2h/events,"('1-2',)","('1-0',)","('86;76;',)","('18;',)","('18;-86;76;',)","(9587512,)","('https://www.sofascore.com/api/v1/event/9587512/incidents',)"
Austria,Bundesliga,21/22,TSV Hartberg,Austria Klagenfurt,06/11/21,Round 14,https://www.sofascore.com/austria-klagenfurt-tsv-hartberg/AQsepr,AQsepr,https://www.sofascore.com/api/v1/event/AQsepr/h2h/events,"('0-2',)","('0-2',)","('34;4;',)","('',)","('-34;4;',)","(9587511,)","('https://www.sofascore.com/api/v1/event/9587511/incidents',)"
Austria,Bundesliga,21/22,LASK,WSG Tirol,07/11/21,Round 14,https://www.sofascore.com/wsg-tirol-lask/iQsfic,iQsfic,https://www.sofascore.com/api/v1/event/iQsfic/h2h/events,"('3-0',)","('1-0',)","('',)","('90;52;36;',)","('90;52;36;-',)","(9587505,)","('https://www.sofascore.com/api/v1/event/9587505/incidents',)"
