country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Belgium,Pro League,21/22,RC Sporting Charleroi,KV Oostende,11/12/21,Round 18,https://www.sofascore.com/kv-oostende-rc-sporting-charleroi/YhbsUOb,YhbsUOb,https://www.sofascore.com/api/v1/event/YhbsUOb/h2h/events,"('1-0',)","('0-0',)","('',)","('80;',)","('80;-',)","(9565043,)","('https://www.sofascore.com/api/v1/event/9565043/incidents',)"
Belgium,Pro League,21/22,KV Kortrijk,Oud-Heverlee Leuven,11/12/21,Round 18,https://www.sofascore.com/kv-kortrijk-oud-heverlee-leuven/tibsiXb,tibsiXb,https://www.sofascore.com/api/v1/event/tibsiXb/h2h/events,"('2-1',)","('0-0',)","('72;',)","('89;63;',)","('89;63;-72;',)","(9565197,)","('https://www.sofascore.com/api/v1/event/9565197/incidents',)"
Belgium,Pro League,21/22,KAS Eupen,K. Beerschot V.A.,12/12/21,Round 18,https://www.sofascore.com/kas-eupen-k-beerschota/BibskKrb,BibskKrb,https://www.sofascore.com/api/v1/event/BibskKrb/h2h/events,"('1-0',)","('1-0',)","('',)","('34;',)","('34;-',)","(9565212,)","('https://www.sofascore.com/api/v1/event/9565212/incidents',)"
Belgium,Pro League,21/22,Sint-Truidense VV,Cercle Brugge,12/12/21,Round 18,https://www.sofascore.com/cercle-brugge-sint-truidense-vv/VhbsEib,VhbsEib,https://www.sofascore.com/api/v1/event/VhbsEib/h2h/events,"('1-2',)","('0-0',)","('75;50;',)","('58;',)","('58;-75;50;',)","(9565158,)","('https://www.sofascore.com/api/v1/event/9565158/incidents',)"
Belgium,Pro League,21/22,RFC Seraing,RSC Anderlecht,12/12/21,Round 18,https://www.sofascore.com/rsc-anderlecht-rfc-seraing/aibsmUGb,aibsmUGb,https://www.sofascore.com/api/v1/event/aibsmUGb/h2h/events,"('0-5',)","('0-3',)","('85;73;44;18;16;',)","('',)","('-85;73;44;18;16;',)","(9564956,)","('https://www.sofascore.com/api/v1/event/9564956/incidents',)"
Belgium,Pro League,21/22,Royal Antwerp FC,Standard Liège,12/12/21,Round 18,https://www.sofascore.com/standard-liege-royal-antwerp-fc/Ohbsbib,Ohbsbib,https://www.sofascore.com/api/v1/event/Ohbsbib/h2h/events,"('2-3',)","('0-0',)","('89;87;57;',)","('77;66;',)","('77;66;-89;87;57;',)","(9565054,)","('https://www.sofascore.com/api/v1/event/9565054/incidents',)"
Belgium,Pro League,21/22,Royale Union Saint-Gilloise,KV Mechelen,12/12/21,Round 18,https://www.sofascore.com/kv-mechelen-royale-union-saint-gilloise/kXbsUac,kXbsUac,https://www.sofascore.com/api/v1/event/kXbsUac/h2h/events,"('2-0',)","('1-0',)","('',)","('55;35;',)","('55;35;-',)","(9565052,)","('https://www.sofascore.com/api/v1/event/9565052/incidents',)"
Belgium,Pro League,21/22,KAA Gent,KRC Genk,00:30,Round 18,https://www.sofascore.com/kaa-gent-krc-genk/Phbsdib,Phbsdib,https://www.sofascore.com/api/v1/event/Phbsdib/h2h/events,"('1-0',)","('1-0',)","('',)","('29;',)","('29;-',)","(9565201,)","('https://www.sofascore.com/api/v1/event/9565201/incidents',)"
Belgium,Pro League,21/22,Club Brugge,SV Zulte Waregem,03:00,Round 18,https://www.sofascore.com/sv-zulte-waregem-club-brugge/NhbsIib,NhbsIib,https://www.sofascore.com/api/v1/event/NhbsIib/h2h/events,"('3-0',)","('1-0',)","('',)","('73;53;13;',)","('73;53;13;-',)","(9565078,)","('https://www.sofascore.com/api/v1/event/9565078/incidents',)"
Belgium,Pro League,21/22,Sint-Truidense VV,Royale Union Saint-Gilloise,04/12/21,Round 17,https://www.sofascore.com/royale-union-saint-gilloise-sint-truidense-vv/VhbskXb,VhbskXb,https://www.sofascore.com/api/v1/event/VhbskXb/h2h/events,"('1-2',)","('0-1',)","('73;32;',)","('63;',)","('63;-73;32;',)","(9565217,)","('https://www.sofascore.com/api/v1/event/9565217/incidents',)"
