country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Brazil,Brasileiro Série A,2021,Bahia,Grêmio,27/11/21,Round 36,https://www.sofascore.com/gremio-bahia/fOsBtc,fOsBtc,https://www.sofascore.com/api/v1/event/fOsBtc/h2h/events,"('3-1',)","('2-0',)","('61;',)","('85;18;13;',)","('85;18;13;-61;',)","(9540882,)","('https://www.sofascore.com/api/v1/event/9540882/incidents',)"
Brazil,Brasileiro Série A,2021,Chapecoense,Atlético Goianiense,27/11/21,Round 36,https://www.sofascore.com/atletico-goianiense-chapecoense/oWcsVLi,oWcsVLi,https://www.sofascore.com/api/v1/event/oWcsVLi/h2h/events,"('1-1',)","('0-1',)","('36;',)","('90;',)","('90;-36;',)","(9540893,)","('https://www.sofascore.com/api/v1/event/9540893/incidents',)"
Brazil,Brasileiro Série A,2021,Red Bull Bragantino,América Mineiro,28/11/21,Round 36,https://www.sofascore.com/red-bull-bragantino-america-mineiro/yOsZO,yOsZO,https://www.sofascore.com/api/v1/event/yOsZO/h2h/events,"('1-1',)","('0-0',)","('50;',)","('64;',)","('64;-50;',)","(9540495,)","('https://www.sofascore.com/api/v1/event/9540495/incidents',)"
Brazil,Brasileiro Série A,2021,São Paulo,Sport Recife,28/11/21,Round 36,https://www.sofascore.com/sao-paulo-sport-recife/jOsGO,jOsGO,https://www.sofascore.com/api/v1/event/jOsGO/h2h/events,"('2-0',)","('0-0',)","('',)","('80;50;',)","('80;50;-',)","(9540639,)","('https://www.sofascore.com/api/v1/event/9540639/incidents',)"
Brazil,Brasileiro Série A,2021,Atlético Mineiro,Fluminense,29/11/21,Round 36,https://www.sofascore.com/atletico-mineiro-fluminense/lOsCO,lOsCO,https://www.sofascore.com/api/v1/event/lOsCO/h2h/events,"('2-1',)","('1-1',)","('14;',)","('60;38;',)","('60;38;-14;',)","(9540921,)","('https://www.sofascore.com/api/v1/event/9540921/incidents',)"
Brazil,Brasileiro Série A,2021,Corinthians,Athletico Paranaense,29/11/21,Round 36,https://www.sofascore.com/athletico-paranaense-corinthians/hOsrO,hOsrO,https://www.sofascore.com/api/v1/event/hOsrO/h2h/events,"('1-0',)","('0-0',)","('',)","('65;',)","('65;-',)","(9540939,)","('https://www.sofascore.com/api/v1/event/9540939/incidents',)"
Brazil,Brasileiro Série A,2021,Internacional,Santos,29/11/21,Round 36,https://www.sofascore.com/santos-internacional/qOstO,qOstO,https://www.sofascore.com/api/v1/event/qOstO/h2h/events,"('1-1',)","('1-0',)","('47;',)","('45;',)","('45;-47;',)","(9541066,)","('https://www.sofascore.com/api/v1/event/9541066/incidents',)"
Brazil,Brasileiro Série A,2021,Flamengo,Ceará SC,06:00,Round 36,https://www.sofascore.com/flamengo-ceara-sc/bPsGuc,bPsGuc,https://www.sofascore.com/api/v1/event/bPsGuc/h2h/events,"('2-1',)","('1-0',)","('71;',)","('79;3;',)","('79;3;-71;',)","(9540818,)","('https://www.sofascore.com/api/v1/event/9540818/incidents',)"
Brazil,Brasileiro Série A,2021,Cuiabá,Palmeiras,08:00,Round 36,https://www.sofascore.com/cuiaba-palmeiras/nOscJu,nOscJu,https://www.sofascore.com/api/v1/event/nOscJu/h2h/events,"('1-3',)","('1-2',)","('90;30;4;',)","('37;',)","('37;-90;30;4;',)","(9540831,)","('https://www.sofascore.com/api/v1/event/9540831/incidents',)"
Brazil,Brasileiro Série A,2021,Chapecoense,Atlético Goianiense,04/12/21,Round 36,https://www.sofascore.com/atletico-goianiense-chapecoense/oWcsVLi,oWcsVLi,https://www.sofascore.com/api/v1/event/oWcsVLi/h2h/events,"('1-1',)","('0-1',)","('36;',)","('90;',)","('90;-36;',)","(9540893,)","('https://www.sofascore.com/api/v1/event/9540893/incidents',)"
Brazil,Brasileiro Série A,2021,Fortaleza EC,Juventude,04/12/21,Round 36,https://www.sofascore.com/fortaleza-ec-juventude/FOsvP,FOsvP,https://www.sofascore.com/api/v1/event/FOsvP/h2h/events,"('1-1',)","('0-1',)","('16;',)","('71;',)","('71;-16;',)","(9540889,)","('https://www.sofascore.com/api/v1/event/9540889/incidents',)"
