country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Czech Republic,1. Liga,21/22,1. FC Slovácko,Bohemians Praha 1905,23/10/21,Round 12,https://www.sofascore.com/bohemians-praha-1905-1-fc-slovacko/wXbsowc,wXbsowc,https://www.sofascore.com/api/v1/event/wXbsowc/h2h/events,"('1-0',)","('0-0',)","('',)","('90;',)","('90;-',)","(9588634,)","('https://www.sofascore.com/api/v1/event/9588634/incidents',)"
Czech Republic,1. Liga,21/22,FC Slovan Liberec,SK Sigma Olomouc,23/10/21,Round 12,https://www.sofascore.com/fc-slovan-liberec-sk-sigma-olomouc/hUsuU,hUsuU,https://www.sofascore.com/api/v1/event/hUsuU/h2h/events,"('2-0',)","('1-0',)","('',)","('58;15;',)","('58;15;-',)","(9588632,)","('https://www.sofascore.com/api/v1/event/9588632/incidents',)"
Czech Republic,1. Liga,21/22,FK Pardubice,Fastav Zlín,23/10/21,Round 12,https://www.sofascore.com/fk-pardubice-fastav-zlin/vUsFU,vUsFU,https://www.sofascore.com/api/v1/event/vUsFU/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9588635,)","('https://www.sofascore.com/api/v1/event/9588635/incidents',)"
Czech Republic,1. Liga,21/22,MFK Karviná,Baník Ostrava,24/10/21,Round 12,https://www.sofascore.com/mfk-karvina-banik-ostrava/eUsbEj,eUsbEj,https://www.sofascore.com/api/v1/event/eUsbEj/h2h/events,"('1-2',)","('0-0',)","('90;68;',)","('58;',)","('58;-90;68;',)","(9959487,)","('https://www.sofascore.com/api/v1/event/9959487/incidents',)"
Czech Republic,1. Liga,21/22,FC Hradec Králové,FK Teplice,24/10/21,Round 12,https://www.sofascore.com/fc-hradec-kralove-fk-teplice/iUsrU,iUsrU,https://www.sofascore.com/api/v1/event/iUsrU/h2h/events,"('3-0',)","('2-0',)","('',)","('85;35;2;',)","('85;35;2;-',)","(9588639,)","('https://www.sofascore.com/api/v1/event/9588639/incidents',)"
Czech Republic,1. Liga,21/22,SK Dynamo České Budějovice,Slavia Praha,24/10/21,Round 12,https://www.sofascore.com/sk-dynamo-ceske-budejovice-slavia-praha/qUswU,qUswU,https://www.sofascore.com/api/v1/event/qUswU/h2h/events,"('2-2',)","('2-0',)","('59;52;',)","('14;10;',)","('14;10;-59;52;',)","(9588636,)","('https://www.sofascore.com/api/v1/event/9588636/incidents',)"
Czech Republic,1. Liga,21/22,Viktoria Plzeň,FK Jablonec,24/10/21,Round 12,https://www.sofascore.com/viktoria-plzen-fk-jablonec/fUscPb,fUscPb,https://www.sofascore.com/api/v1/event/fUscPb/h2h/events,"('5-0',)","('2-0',)","('',)","('89;73;70;18;15;',)","('89;73;70;18;15;-',)","(9588637,)","('https://www.sofascore.com/api/v1/event/9588637/incidents',)"
Czech Republic,1. Liga,21/22,Sparta Praha,Mladá Boleslav,25/10/21,Round 12,https://www.sofascore.com/mlada-boleslav-sparta-praha/tUszU,tUszU,https://www.sofascore.com/api/v1/event/tUszU/h2h/events,"('1-0',)","('0-0',)","('',)","('90;',)","('90;-',)","(9588638,)","('https://www.sofascore.com/api/v1/event/9588638/incidents',)"
Czech Republic,1. Liga,21/22,MFK Karviná,Baník Ostrava,24/11/21,Round 12,https://www.sofascore.com/mfk-karvina-banik-ostrava/eUsbEj,eUsbEj,https://www.sofascore.com/api/v1/event/eUsbEj/h2h/events,"('1-2',)","('0-0',)","('90;68;',)","('58;',)","('58;-90;68;',)","(9959487,)","('https://www.sofascore.com/api/v1/event/9959487/incidents',)"
Czech Republic,1. Liga,21/22,Baník Ostrava,1. FC Slovácko,16/10/21,Round 11,https://www.sofascore.com/1-fc-slovacko-banik-ostrava/eUswXb,eUswXb,https://www.sofascore.com/api/v1/event/eUswXb/h2h/events,"('1-2',)","('1-1',)","('75;5;',)","('32;',)","('32;-75;5;',)","(9588625,)","('https://www.sofascore.com/api/v1/event/9588625/incidents',)"
Czech Republic,1. Liga,21/22,FK Jablonec,SK Dynamo České Budějovice,16/10/21,Round 11,https://www.sofascore.com/sk-dynamo-ceske-budejovice-fk-jablonec/fUswU,fUswU,https://www.sofascore.com/api/v1/event/fUswU/h2h/events,"('2-2',)","('1-2',)","('23;20;',)","('78;15;',)","('78;15;-23;20;',)","(9588629,)","('https://www.sofascore.com/api/v1/event/9588629/incidents',)"
