country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
France,Ligue 1,21/22,RC Lens,Angers,27/11/21,Round 15,https://www.sofascore.com/angers-rc-lens/YHsJI,YHsJI,https://www.sofascore.com/api/v1/event/YHsJI/h2h/events,"('2-2',)","('0-1',)","('70;40;',)","('55;48;',)","('55;48;-70;40;',)","(9594651,)","('https://www.sofascore.com/api/v1/event/9594651/incidents',)"
France,Ligue 1,21/22,Lille OSC,FC Nantes,27/11/21,Round 15,https://www.sofascore.com/fc-nantes-lille-osc/THsXH,THsXH,https://www.sofascore.com/api/v1/event/THsXH/h2h/events,"('1-1',)","('1-1',)","('24;',)","('9;',)","('9;-24;',)","(9594647,)","('https://www.sofascore.com/api/v1/event/9594647/incidents',)"
France,Ligue 1,21/22,OGC Nice,Metz,28/11/21,Round 15,https://www.sofascore.com/ogc-nice-metz/bIslI,bIslI,https://www.sofascore.com/api/v1/event/bIslI/h2h/events,"('0-1',)","('0-1',)","('31;',)","('',)","('-31;',)","(9594673,)","('https://www.sofascore.com/api/v1/event/9594673/incidents',)"
France,Ligue 1,21/22,Saint-Étienne,Paris Saint-Germain,28/11/21,Round 15,https://www.sofascore.com/saint-etienne-paris-saint-germain/UHDI,UHDI,https://www.sofascore.com/api/v1/event/UHDI/h2h/events,"('1-3',)","('1-1',)","('90;79;45;',)","('23;',)","('23;-90;79;45;',)","(9594663,)","('https://www.sofascore.com/api/v1/event/9594663/incidents',)"
France,Ligue 1,21/22,AS Monaco,Strasbourg,28/11/21,Round 15,https://www.sofascore.com/strasbourg-as-monaco/dIsjI,dIsjI,https://www.sofascore.com/api/v1/event/dIsjI/h2h/events,"('1-1',)","('1-0',)","('48;',)","('45;',)","('45;-48;',)","(9594675,)","('https://www.sofascore.com/api/v1/event/9594675/incidents',)"
France,Ligue 1,21/22,Bordeaux,Stade Brestois 29,28/11/21,Round 15,https://www.sofascore.com/stade-brestois-29-bordeaux/VHspJ,VHspJ,https://www.sofascore.com/api/v1/event/VHspJ/h2h/events,"('1-2',)","('1-0',)","('66;59;',)","('43;',)","('43;-66;59;',)","(9594661,)","('https://www.sofascore.com/api/v1/event/9594661/incidents',)"
France,Ligue 1,21/22,Lorient,Stade Rennais,28/11/21,Round 15,https://www.sofascore.com/stade-rennais-lorient/gIsiI,gIsiI,https://www.sofascore.com/api/v1/event/gIsiI/h2h/events,"('0-2',)","('0-0',)","('78;75;',)","('',)","('-78;75;',)","(9594648,)","('https://www.sofascore.com/api/v1/event/9594648/incidents',)"
France,Ligue 1,21/22,Stade de Reims,Clermont Foot 63,28/11/21,Round 15,https://www.sofascore.com/stade-de-reims-clermont-foot-63/FIsHI,FIsHI,https://www.sofascore.com/api/v1/event/FIsHI/h2h/events,"('1-0',)","('0-0',)","('',)","('90;',)","('90;-',)","(9594679,)","('https://www.sofascore.com/api/v1/event/9594679/incidents',)"
France,Ligue 1,21/22,Montpellier,Olympique Lyonnais,28/11/21,Round 15,https://www.sofascore.com/olympique-lyonnais-montpellier/RHsZH,RHsZH,https://www.sofascore.com/api/v1/event/RHsZH/h2h/events,"('0-1',)","('0-1',)","('17;',)","('',)","('-17;',)","(9594672,)","('https://www.sofascore.com/api/v1/event/9594672/incidents',)"
France,Ligue 1,21/22,Olympique de Marseille,Troyes,02:45,Round 15,https://www.sofascore.com/troyes-olympique-de-marseille/QHscI,QHscI,https://www.sofascore.com/api/v1/event/QHscI/h2h/events,"('1-0',)","('0-0',)","('',)","('74;',)","('74;-',)","(9594649,)","('https://www.sofascore.com/api/v1/event/9594649/incidents',)"
France,Ligue 1,21/22,AS Monaco,Lille OSC,20/11/21,Round 14,https://www.sofascore.com/as-monaco-lille-osc/THsdI,THsdI,https://www.sofascore.com/api/v1/event/THsdI/h2h/events,"('2-2',)","('1-2',)","('9;5;',)","('83;41;',)","('83;41;-9;5;',)","(9594697,)","('https://www.sofascore.com/api/v1/event/9594697/incidents',)"
