country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Germany,Bundesliga,21/22,1. FC Köln,FC Augsburg,11/12/21,Round 15,https://www.sofascore.com/1-fc-koln-fc-augsburg/acbswdb,acbswdb,https://www.sofascore.com/api/v1/event/acbswdb/h2h/events,"('2-3',)","('0-3',)","('33;23;8;',)","('62;54;',)","('62;54;-33;23;8;',)","(8833550,)","('https://www.sofascore.com/api/v1/event/8833550/incidents',)"
Germany,Bundesliga,21/22,Bayern München,1. FSV Mainz 05,11/12/21,Round 15,https://www.sofascore.com/bayern-munchen-1-fsv-mainz-05/gbbsxdb,gbbsxdb,https://www.sofascore.com/api/v1/event/gbbsxdb/h2h/events,"('2-1',)","('2-0',)","('90;',)","('37;3;',)","('37;3;-90;',)","(8833707,)","('https://www.sofascore.com/api/v1/event/8833707/incidents',)"
Germany,Bundesliga,21/22,Hertha BSC,Arminia Bielefeld,11/12/21,Round 15,https://www.sofascore.com/arminia-bielefeld-hertha-bsc/DabsPab,DabsPab,https://www.sofascore.com/api/v1/event/DabsPab/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(8833537,)","('https://www.sofascore.com/api/v1/event/8833537/incidents',)"
Germany,Bundesliga,21/22,RB Leipzig,Borussia M'gladbach,11/12/21,Round 15,https://www.sofascore.com/rb-leipzig-borussia-mgladbach/CabskCo,CabskCo,https://www.sofascore.com/api/v1/event/CabskCo/h2h/events,"('3-2',)","('0-2',)","('19;6;',)","('90;66;57;',)","('90;66;57;-19;6;',)","(8833660,)","('https://www.sofascore.com/api/v1/event/8833660/incidents',)"
Germany,Bundesliga,21/22,SC Freiburg,1899 Hoffenheim,11/12/21,Round 15,https://www.sofascore.com/1899-hoffenheim-sc-freiburg/Nabsubb,Nabsubb,https://www.sofascore.com/api/v1/event/Nabsubb/h2h/events,"('1-1',)","('0-1',)","('40;',)","('81;',)","('81;-40;',)","(8833589,)","('https://www.sofascore.com/api/v1/event/8833589/incidents',)"
Germany,Bundesliga,21/22,VfL Bochum,Borussia Dortmund,11/12/21,Round 15,https://www.sofascore.com/borussia-dortmund-vfl-bochum/Rabsydb,Rabsydb,https://www.sofascore.com/api/v1/event/Rabsydb/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","(1077969,)","('https://www.sofascore.com/api/v1/event/1077969/incidents',)"
Germany,Bundesliga,21/22,VfL Wolfsburg,VfB Stuttgart,12/12/21,Round 15,https://www.sofascore.com/vfb-stuttgart-vfl-wolfsburg/zabsCdb,zabsCdb,https://www.sofascore.com/api/v1/event/zabsCdb/h2h/events,"('1-3',)","('0-2',)","('65;29;13;',)","('90;',)","('90;-65;29;13;',)","(8833603,)","('https://www.sofascore.com/api/v1/event/8833603/incidents',)"
Germany,Bundesliga,21/22,SpVgg Greuther Fürth,1. FC Union Berlin,12/12/21,Round 15,https://www.sofascore.com/spvgg-greuther-furth-1-fc-union-berlin/Xabsbbb,Xabsbbb,https://www.sofascore.com/api/v1/event/Xabsbbb/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","('',)","('https://www.sofascore.com/api/v1/event//incidents',)"
Germany,Bundesliga,21/22,Eintracht Frankfurt,Bayer 04 Leverkusen,12/12/21,Round 15,https://www.sofascore.com/bayer-04-leverkusen-eintracht-frankfurt/zdbsGdb,zdbsGdb,https://www.sofascore.com/api/v1/event/zdbsGdb/h2h/events,"('3-1',)","('0-0',)","('90;',)","('90;80;70;',)","('90;80;70;-90;',)","(8833710,)","('https://www.sofascore.com/api/v1/event/8833710/incidents',)"
Germany,Bundesliga,21/22,1. FC Union Berlin,RB Leipzig,04/12/21,Round 14,https://www.sofascore.com/rb-leipzig-1-fc-union-berlin/XabskCo,XabskCo,https://www.sofascore.com/api/v1/event/XabskCo/h2h/events,"('2-1',)","('1-1',)","('13;',)","('57;6;',)","('57;6;-13;',)","(9594549,)","('https://www.sofascore.com/api/v1/event/9594549/incidents',)"
