country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Indonesia,Liga 1,21/22,Persela Lamongan,PSS Sleman,11/12/21,Round 17,https://www.sofascore.com/persela-lamongan-pss-sleman/MKAsIUGb,MKAsIUGb,https://www.sofascore.com/api/v1/event/MKAsIUGb/h2h/events,"('1-1',)","('0-1',)","('38;',)","('83;',)","('83;-38;',)","(9945885,)","('https://www.sofascore.com/api/v1/event/9945885/incidents',)"
Indonesia,Liga 1,21/22,Persija Jakarta,Bhayangkara FC,11/12/21,Round 17,https://www.sofascore.com/persija-jakarta-bhayangkara-fc/VKAsrrNb,VKAsrrNb,https://www.sofascore.com/api/v1/event/VKAsrrNb/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9945887,)","('https://www.sofascore.com/api/v1/event/9945887/incidents',)"
Indonesia,Liga 1,21/22,Persipura Jayapura,PSIS Semarang,11/12/21,Round 17,https://www.sofascore.com/persipura-jayapura-psis-semarang/HUpswOAb,HUpswOAb,https://www.sofascore.com/api/v1/event/HUpswOAb/h2h/events,"('2-1',)","('0-1',)","('42;',)","('70;54;',)","('70;54;-42;',)","(9945895,)","('https://www.sofascore.com/api/v1/event/9945895/incidents',)"
Indonesia,Liga 1,21/22,Persik Kediri,Persib Bandung,12/12/21,Round 17,https://www.sofascore.com/persib-bandung-persik-kediri/OKAsqreb,OKAsqreb,https://www.sofascore.com/api/v1/event/OKAsqreb/h2h/events,"('0-1',)","('0-1',)","('18;',)","('',)","('-18;',)","(9945886,)","('https://www.sofascore.com/api/v1/event/9945886/incidents',)"
Indonesia,Liga 1,21/22,Persita Tangerang,Barito Putera,12/12/21,Round 17,https://www.sofascore.com/persita-tangerang-barito-putera/RFJsBGJ,RFJsBGJ,https://www.sofascore.com/api/v1/event/RFJsBGJ/h2h/events,"('0-1',)","('0-1',)","('16;',)","('',)","('-16;',)","(9945888,)","('https://www.sofascore.com/api/v1/event/9945888/incidents',)"
Indonesia,Liga 1,21/22,Persiraja Banda Aceh,PSM Makassar,20:30,Round 17,https://www.sofascore.com/persiraja-banda-aceh-psm-makassar/orebsOkoc,orebsOkoc,https://www.sofascore.com/api/v1/event/orebsOkoc/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","('',)","('https://www.sofascore.com/api/v1/event//incidents',)"
Indonesia,Liga 1,21/22,Persebaya Surabaya,Bali United FC,20:45,Round 17,https://www.sofascore.com/persebaya-surabaya-bali-united-fc/ZKAsuBF,ZKAsuBF,https://www.sofascore.com/api/v1/event/ZKAsuBF/h2h/events,"('1-1',)","('1-0',)","('88;',)","('34;',)","('34;-88;',)","(8227112,)","('https://www.sofascore.com/api/v1/event/8227112/incidents',)"
Indonesia,Liga 1,21/22,Arema FC,Persikabo 1973,14/12/21,Round 17,https://www.sofascore.com/arema-fc-persikabo-1973/pZtstrNb,pZtstrNb,https://www.sofascore.com/api/v1/event/pZtstrNb/h2h/events,"('0-2',)","('0-1',)","('48;7;',)","('',)","('-48;7;',)","(8592135,)","('https://www.sofascore.com/api/v1/event/8592135/incidents',)"
Indonesia,Liga 1,21/22,Madura United,Borneo FC,14/12/21,Round 17,https://www.sofascore.com/madura-united-borneo-fc/DGJsVYAb,DGJsVYAb,https://www.sofascore.com/api/v1/event/DGJsVYAb/h2h/events,"('2-1',)","('0-1',)","('7;',)","('90;76;',)","('90;76;-7;',)","(8227100,)","('https://www.sofascore.com/api/v1/event/8227100/incidents',)"
Indonesia,Liga 1,21/22,Bhayangkara FC,Persela Lamongan,06/12/21,Round 16,https://www.sofascore.com/persela-lamongan-bhayangkara-fc/MKAsrrNb,MKAsrrNb,https://www.sofascore.com/api/v1/event/MKAsrrNb/h2h/events,"('2-0',)","('2-0',)","('',)","('42;30;',)","('42;30;-',)","(9945879,)","('https://www.sofascore.com/api/v1/event/9945879/incidents',)"
Indonesia,Liga 1,21/22,PSS Sleman,Persipura Jayapura,07/12/21,Round 16,https://www.sofascore.com/persipura-jayapura-pss-sleman/HUpsIUGb,HUpsIUGb,https://www.sofascore.com/api/v1/event/HUpsIUGb/h2h/events,"('1-1',)","('0-0',)","('90;',)","('75;',)","('75;-90;',)","(9945880,)","('https://www.sofascore.com/api/v1/event/9945880/incidents',)"
Indonesia,Liga 1,21/22,Persita Tangerang,PSIS Semarang,07/12/21,Round 16,https://www.sofascore.com/persita-tangerang-psis-semarang/BGJswOAb,BGJswOAb,https://www.sofascore.com/api/v1/event/BGJswOAb/h2h/events,"('0-2',)","('0-2',)","('69;36;28;',)","('63;47;',)","('63;47;-69;36;28;',)","(9945883,)","('https://www.sofascore.com/api/v1/event/9945883/incidents',)"
Indonesia,Liga 1,21/22,PSM Makassar,Persija Jakarta,07/12/21,Round 16,https://www.sofascore.com/persija-jakarta-psm-makassar/VKAsoreb,VKAsoreb,https://www.sofascore.com/api/v1/event/VKAsoreb/h2h/events,"('0-3',)","('0-0',)","('90;64;56;',)","('',)","('-90;64;56;',)","(9945884,)","('https://www.sofascore.com/api/v1/event/9945884/incidents',)"
Indonesia,Liga 1,21/22,Barito Putera,Persik Kediri,08/12/21,Round 16,https://www.sofascore.com/barito-putera-persik-kediri/RFJsqreb,RFJsqreb,https://www.sofascore.com/api/v1/event/RFJsqreb/h2h/events,"('0-2',)","('0-1',)","('87;8;',)","('',)","('-87;8;',)","(9945881,)","('https://www.sofascore.com/api/v1/event/9945881/incidents',)"
Indonesia,Liga 1,21/22,Persib Bandung,Persebaya Surabaya,08/12/21,Round 16,https://www.sofascore.com/persebaya-surabaya-persib-bandung/OKAsuBF,OKAsuBF,https://www.sofascore.com/api/v1/event/OKAsuBF/h2h/events,"('0-3',)","('0-0',)","('90;70;58;',)","('',)","('-90;70;58;',)","(9945890,)","('https://www.sofascore.com/api/v1/event/9945890/incidents',)"
