country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Italy,Serie A,21/22,Genoa,Sampdoria,11/12/21,Round 17,https://www.sofascore.com/genoa-sampdoria/lebsneb,lebsneb,https://www.sofascore.com/api/v1/event/lebsneb/h2h/events,"('1-3',)","('0-1',)","('67;49;7;',)","('78;',)","('78;-67;49;7;',)","(9645160,)","('https://www.sofascore.com/api/v1/event/9645160/incidents',)"
Italy,Serie A,21/22,Fiorentina,Salernitana,11/12/21,Round 17,https://www.sofascore.com/salernitana-fiorentina/Tdbskeb,Tdbskeb,https://www.sofascore.com/api/v1/event/Tdbskeb/h2h/events,"('4-0',)","('1-0',)","('',)","('90;84;51;31;',)","('90;84;51;31;-',)","(9645159,)","('https://www.sofascore.com/api/v1/event/9645159/incidents',)"
Italy,Serie A,21/22,Venezia,Juventus,12/12/21,Round 17,https://www.sofascore.com/venezia-juventus/MdbsNdb,MdbsNdb,https://www.sofascore.com/api/v1/event/MdbsNdb/h2h/events,"('1-1',)","('0-1',)","('32;',)","('55;',)","('55;-32;',)","(9645115,)","('https://www.sofascore.com/api/v1/event/9645115/incidents',)"
Italy,Serie A,21/22,Udinese,Milan,12/12/21,Round 17,https://www.sofascore.com/udinese-milan/RdbsVdb,RdbsVdb,https://www.sofascore.com/api/v1/event/RdbsVdb/h2h/events,"('1-1',)","('1-0',)","('90;',)","('17;',)","('17;-90;',)","(9645125,)","('https://www.sofascore.com/api/v1/event/9645125/incidents',)"
Italy,Serie A,21/22,Torino,Bologna,12/12/21,Round 17,https://www.sofascore.com/torino-bologna/KdbsWdb,KdbsWdb,https://www.sofascore.com/api/v1/event/KdbsWdb/h2h/events,"('2-1',)","('1-0',)","('79;',)","('69;24;',)","('69;24;-79;',)","(9645119,)","('https://www.sofascore.com/api/v1/event/9645119/incidents',)"
Italy,Serie A,21/22,Hellas Verona,Atalanta,12/12/21,Round 17,https://www.sofascore.com/hellas-verona-atalanta/Ldbsbeb,Ldbsbeb,https://www.sofascore.com/api/v1/event/Ldbsbeb/h2h/events,"('1-2',)","('1-1',)","('62;37;',)","('22;',)","('22;-62;37;',)","(9645158,)","('https://www.sofascore.com/api/v1/event/9645158/incidents',)"
Italy,Serie A,21/22,Napoli,Empoli,00:00,Round 17,https://www.sofascore.com/napoli-empoli/febsoeb,febsoeb,https://www.sofascore.com/api/v1/event/febsoeb/h2h/events,"('0-1',)","('0-0',)","('70;',)","('',)","('-70;',)","(9645157,)","('https://www.sofascore.com/api/v1/event/9645157/incidents',)"
Italy,Serie A,21/22,Sassuolo,Lazio,00:00,Round 17,https://www.sofascore.com/sassuolo-lazio/ZdbsTfb,ZdbsTfb,https://www.sofascore.com/api/v1/event/ZdbsTfb/h2h/events,"('2-1',)","('0-1',)","('6;',)","('69;63;',)","('69;63;-6;',)","(9645130,)","('https://www.sofascore.com/api/v1/event/9645130/incidents',)"
Italy,Serie A,21/22,Inter,Cagliari,02:45,Round 17,https://www.sofascore.com/cagliari-inter/Xdbsueb,Xdbsueb,https://www.sofascore.com/api/v1/event/Xdbsueb/h2h/events,"('4-0',)","('1-0',)","('',)","('68;66;50;29;',)","('68;66;50;29;-',)","(9645162,)","('https://www.sofascore.com/api/v1/event/9645162/incidents',)"
Italy,Serie A,21/22,Roma,Spezia,14/12/21,Round 17,https://www.sofascore.com/spezia-roma/cebsKeb,cebsKeb,https://www.sofascore.com/api/v1/event/cebsKeb/h2h/events,"('2-2',)","('2-0',)","('85;52;',)","('38;6;',)","('38;6;-85;52;',)","(8970571,)","('https://www.sofascore.com/api/v1/event/8970571/incidents',)"
