country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Spain,LaLiga,21/22,RCD Mallorca,Celta Vigo,11/12/21,Round 17,https://www.sofascore.com/rcd-mallorca-celta-vigo/wgbsBgb,wgbsBgb,https://www.sofascore.com/api/v1/event/wgbsBgb/h2h/events,"('5-1',)","('3-0',)","('50;',)","('60;52;40;27;13;',)","('60;52;40;27;13;-50;',)","(8678413,)","('https://www.sofascore.com/api/v1/event/8678413/incidents',)"
Spain,LaLiga,21/22,Espanyol,Levante,11/12/21,Round 17,https://www.sofascore.com/levante-espanyol/ogbsZgb,ogbsZgb,https://www.sofascore.com/api/v1/event/ogbsZgb/h2h/events,"('1-3',)","('1-1',)","('87;67;14;',)","('28;',)","('28;-87;67;14;',)","(8678386,)","('https://www.sofascore.com/api/v1/event/8678386/incidents',)"
Spain,LaLiga,21/22,Deportivo Alavés,Getafe,11/12/21,Round 17,https://www.sofascore.com/deportivo-alaves-getafe/jhbsKhb,jhbsKhb,https://www.sofascore.com/api/v1/event/jhbsKhb/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(8966475,)","('https://www.sofascore.com/api/v1/event/8966475/incidents',)"
Spain,LaLiga,21/22,Valencia,Elche CF,12/12/21,Round 17,https://www.sofascore.com/elche-cf-valencia/DgbsWgb,DgbsWgb,https://www.sofascore.com/api/v1/event/DgbsWgb/h2h/events,"('1-0',)","('1-0',)","('',)","('22;',)","('22;-',)","(8966530,)","('https://www.sofascore.com/api/v1/event/8966530/incidents',)"
Spain,LaLiga,21/22,Athletic Club,Sevilla,12/12/21,Round 17,https://www.sofascore.com/sevilla-athletic-club/AgbsIgb,AgbsIgb,https://www.sofascore.com/api/v1/event/AgbsIgb/h2h/events,"('0-1',)","('0-0',)","('90;',)","('',)","('-90;',)","(8966213,)","('https://www.sofascore.com/api/v1/event/8966213/incidents',)"
Spain,LaLiga,21/22,Villarreal,Rayo Vallecano,12/12/21,Round 17,https://www.sofascore.com/villarreal-rayo-vallecano/tgbsugb,tgbsugb,https://www.sofascore.com/api/v1/event/tgbsugb/h2h/events,"('3-1',)","('0-1',)","('20;',)","('88;52;50;',)","('88;52;50;-20;',)","(7895639,)","('https://www.sofascore.com/api/v1/event/7895639/incidents',)"
Spain,LaLiga,21/22,Osasuna,Barcelona,12/12/21,Round 17,https://www.sofascore.com/osasuna-barcelona/rgbsvgb,rgbsvgb,https://www.sofascore.com/api/v1/event/rgbsvgb/h2h/events,"('0-2',)","('0-1',)","('83;30;',)","('',)","('-83;30;',)","(8966442,)","('https://www.sofascore.com/api/v1/event/8966442/incidents',)"
Spain,LaLiga,21/22,Real Betis Balompié,Real Sociedad,13/12/21,Round 17,https://www.sofascore.com/real-sociedad-real-betis-balompie/qgbszgb,qgbszgb,https://www.sofascore.com/api/v1/event/qgbszgb/h2h/events,"('2-2',)","('0-0',)","('90;85;',)","('57;48;',)","('57;48;-90;85;',)","(8966469,)","('https://www.sofascore.com/api/v1/event/8966469/incidents',)"
Spain,LaLiga,21/22,Real Madrid,Atlético Madrid,13/12/21,Round 17,https://www.sofascore.com/atletico-madrid-real-madrid/EgbsLgb,EgbsLgb,https://www.sofascore.com/api/v1/event/EgbsLgb/h2h/events,"('1-1',)","('1-0',)","('88;',)","('15;',)","('15;-88;',)","(8966417,)","('https://www.sofascore.com/api/v1/event/8966417/incidents',)"
Spain,LaLiga,21/22,Cádiz,Granada,14/12/21,Round 17,https://www.sofascore.com/cadiz-granada/NObsEAn,NObsEAn,https://www.sofascore.com/api/v1/event/NObsEAn/h2h/events,"('0-1',)","('0-1',)","('39;',)","('',)","('-39;',)","(8966190,)","('https://www.sofascore.com/api/v1/event/8966190/incidents',)"
