country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Netherlands,Eredivisie,21/22,Willem II Tilburg,SC Cambuur,11/12/21,Round 16,https://www.sofascore.com/sc-cambuur-willem-ii-tilburg/ljbsvjb,ljbsvjb,https://www.sofascore.com/api/v1/event/ljbsvjb/h2h/events,"('1-3',)","('0-0',)","('90;68;49;',)","('90;',)","('90;-90;68;49;',)","(9564606,)","('https://www.sofascore.com/api/v1/event/9564606/incidents',)"
Netherlands,Eredivisie,21/22,FC Utrecht,Go Ahead Eagles,12/12/21,Round 16,https://www.sofascore.com/go-ahead-eagles-fc-utrecht/YibsEjb,YibsEjb,https://www.sofascore.com/api/v1/event/YibsEjb/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9564588,)","('https://www.sofascore.com/api/v1/event/9564588/incidents',)"
Netherlands,Eredivisie,21/22,SC Heerenveen,Sparta Rotterdam,12/12/21,Round 16,https://www.sofascore.com/sc-heerenveen-sparta-rotterdam/kjbsojb,kjbsojb,https://www.sofascore.com/api/v1/event/kjbsojb/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9564714,)","('https://www.sofascore.com/api/v1/event/9564714/incidents',)"
Netherlands,Eredivisie,21/22,PEC Zwolle,Fortuna Sittard,12/12/21,Round 16,https://www.sofascore.com/pec-zwolle-fortuna-sittard/hjbswjb,hjbswjb,https://www.sofascore.com/api/v1/event/hjbswjb/h2h/events,"('0-1',)","('0-0',)","('63;',)","('',)","('-63;',)","(9564608,)","('https://www.sofascore.com/api/v1/event/9564608/incidents',)"
Netherlands,Eredivisie,21/22,FC Twente,RKC Waalwijk,12/12/21,Round 16,https://www.sofascore.com/rkc-waalwijk-fc-twente/fjbsgjb,fjbsgjb,https://www.sofascore.com/api/v1/event/fjbsgjb/h2h/events,"('2-1',)","('2-1',)","('10;',)","('5;2;',)","('5;2;-10;',)","(9564616,)","('https://www.sofascore.com/api/v1/event/9564616/incidents',)"
Netherlands,Eredivisie,21/22,FC Groningen,Feyenoord,12/12/21,Round 16,https://www.sofascore.com/feyenoord-fc-groningen/bjbsjjb,bjbsjjb,https://www.sofascore.com/api/v1/event/bjbsjjb/h2h/events,"('1-1',)","('0-0',)","('60;',)","('65;',)","('65;-60;',)","(9564561,)","('https://www.sofascore.com/api/v1/event/9564561/incidents',)"
Netherlands,Eredivisie,21/22,Vitesse,Heracles Almelo,12/12/21,Round 16,https://www.sofascore.com/heracles-almelo-vitesse/ijbsCjb,ijbsCjb,https://www.sofascore.com/api/v1/event/ijbsCjb/h2h/events,"('2-1',)","('1-1',)","('22;',)","('49;31;',)","('49;31;-22;',)","(9564604,)","('https://www.sofascore.com/api/v1/event/9564604/incidents',)"
Netherlands,Eredivisie,21/22,Ajax,AZ Alkmaar,12/12/21,Round 16,https://www.sofascore.com/ajax-az-alkmaar/ajbsdjb,ajbsdjb,https://www.sofascore.com/api/v1/event/ajbsdjb/h2h/events,"('1-2',)","('0-0',)","('83;50;',)","('73;',)","('73;-83;50;',)","(9564591,)","('https://www.sofascore.com/api/v1/event/9564591/incidents',)"
Netherlands,Eredivisie,21/22,NEC Nijmegen,PSV Eindhoven,02:00,Round 16,https://www.sofascore.com/nec-nijmegen-psv-eindhoven/cjbsmjb,cjbsmjb,https://www.sofascore.com/api/v1/event/cjbsmjb/h2h/events,"('1-2',)","('1-0',)","('90;80;',)","('8;',)","('8;-90;80;',)","(9564587,)","('https://www.sofascore.com/api/v1/event/9564587/incidents',)"
Netherlands,Eredivisie,21/22,Ajax,Willem II Tilburg,03/12/21,Round 15,https://www.sofascore.com/willem-ii-tilburg-ajax/djbsljb,djbsljb,https://www.sofascore.com/api/v1/event/djbsljb/h2h/events,"('5-0',)","('3-0',)","('',)","('76;71;23;18;15;',)","('76;71;23;18;15;-',)","(9564543,)","('https://www.sofascore.com/api/v1/event/9564543/incidents',)"
