country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Norway,Eliteserien,2021,Lillestrøm SK,Strømsgodset,00:00,Round 28,https://www.sofascore.com/lillestrom-sk-stromsgodset/onsny,onsny,https://www.sofascore.com/api/v1/event/onsny/h2h/events,"('4-1',)","('3-0',)","('86;',)","('61;45;44;21;',)","('61;45;44;21;-86;',)","(9479271,)","('https://www.sofascore.com/api/v1/event/9479271/incidents',)"
Norway,Eliteserien,2021,Odds BK,Vålerenga IF,00:00,Round 28,https://www.sofascore.com/odds-bk-valerenga-if/jnspy,jnspy,https://www.sofascore.com/api/v1/event/jnspy/h2h/events,"('1-2',)","('1-1',)","('75;4;',)","('35;',)","('35;-75;4;',)","(9479276,)","('https://www.sofascore.com/api/v1/event/9479276/incidents',)"
Norway,Eliteserien,2021,Haugesund,Sandefjord Fotball,23:00,Round 28,https://www.sofascore.com/sandefjord-fotball-haugesund/ynsBn,ynsBn,https://www.sofascore.com/api/v1/event/ynsBn/h2h/events,"('1-1',)","('1-0',)","('58;',)","('23;',)","('23;-58;',)","(9499329,)","('https://www.sofascore.com/api/v1/event/9499329/incidents',)"
Norway,Eliteserien,2021,Kristiansund BK,Viking FK,23:00,Round 28,https://www.sofascore.com/kristiansund-bk-viking-fk/husoy,husoy,https://www.sofascore.com/api/v1/event/husoy/h2h/events,"('3-2',)","('2-1',)","('87;35;',)","('80;16;9;',)","('80;16;9;-87;35;',)","(9479196,)","('https://www.sofascore.com/api/v1/event/9479196/incidents',)"
Norway,Eliteserien,2021,Mjøndalen,Sarpsborg 08,23:00,Round 28,https://www.sofascore.com/mjondalen-sarpsborg-08/xqsdt,xqsdt,https://www.sofascore.com/api/v1/event/xqsdt/h2h/events,"('1-1',)","('0-1',)","('2;',)","('90;',)","('90;-2;',)","(9499327,)","('https://www.sofascore.com/api/v1/event/9499327/incidents',)"
Norway,Eliteserien,2021,Rosenborg BK,Bodø/Glimt,23:00,Round 28,https://www.sofascore.com/bodoglimt-rosenborg-bk/gnsly,gnsly,https://www.sofascore.com/api/v1/event/gnsly/h2h/events,"('2-2',)","('1-1',)","('88;23;',)","('52;9;',)","('52;9;-88;23;',)","(9443910,)","('https://www.sofascore.com/api/v1/event/9443910/incidents',)"
Norway,Eliteserien,2021,Tromsø IL,Stabæk Fotball,23:00,Round 28,https://www.sofascore.com/tromso-il-stabaek-fotball/knsmy,knsmy,https://www.sofascore.com/api/v1/event/knsmy/h2h/events,"('0-3',)","('0-2',)","('90;14;9;',)","('',)","('-90;14;9;',)","(9444168,)","('https://www.sofascore.com/api/v1/event/9444168/incidents',)"
Norway,Eliteserien,2021,SK Brann,Molde FK,29/11/21,Round 28,https://www.sofascore.com/molde-fk-sk-brann/lnsjy,lnsjy,https://www.sofascore.com/api/v1/event/lnsjy/h2h/events,"('4-0',)","('3-0',)","('',)","('53;42;38;29;',)","('53;42;38;29;-',)","(9443909,)","('https://www.sofascore.com/api/v1/event/9443909/incidents',)"
Norway,Eliteserien,2021,Strømsgodset,Mjøndalen,21/11/21,Round 27,https://www.sofascore.com/mjondalen-stromsgodset/dtsny,dtsny,https://www.sofascore.com/api/v1/event/dtsny/h2h/events,"('1-2',)","('0-1',)","('78;12;',)","('87;',)","('87;-78;12;',)","(9479324,)","('https://www.sofascore.com/api/v1/event/9479324/incidents',)"
Norway,Eliteserien,2021,Viking FK,Haugesund,21/11/21,Round 27,https://www.sofascore.com/haugesund-viking-fk/ynsoy,ynsoy,https://www.sofascore.com/api/v1/event/ynsoy/h2h/events,"('1-1',)","('0-0',)","('64;',)","('59;',)","('59;-64;',)","(9479306,)","('https://www.sofascore.com/api/v1/event/9479306/incidents',)"
Norway,Eliteserien,2021,Bodø/Glimt,Lillestrøm SK,21/11/21,Round 27,https://www.sofascore.com/lillestrom-sk-bodoglimt/gnson,gnson,https://www.sofascore.com/api/v1/event/gnson/h2h/events,"('2-0',)","('2-0',)","('',)","('45;30;',)","('45;30;-',)","(9479325,)","('https://www.sofascore.com/api/v1/event/9479325/incidents',)"
Norway,Eliteserien,2021,Sandefjord Fotball,SK Brann,21/11/21,Round 27,https://www.sofascore.com/sandefjord-fotball-sk-brann/Bnsjy,Bnsjy,https://www.sofascore.com/api/v1/event/Bnsjy/h2h/events,"('2-2',)","('2-1',)","('90;6;',)","('17;15;',)","('17;15;-90;6;',)","(9479312,)","('https://www.sofascore.com/api/v1/event/9479312/incidents',)"
Norway,Eliteserien,2021,Sarpsborg 08,Odds BK,21/11/21,Round 27,https://www.sofascore.com/sarpsborg-08-odds-bk/jnsxq,jnsxq,https://www.sofascore.com/api/v1/event/jnsxq/h2h/events,"('1-1',)","('0-0',)","('84;',)","('70;',)","('70;-84;',)","(9479305,)","('https://www.sofascore.com/api/v1/event/9479305/incidents',)"
Norway,Eliteserien,2021,Stabæk Fotball,Kristiansund BK,21/11/21,Round 27,https://www.sofascore.com/kristiansund-bk-stabaek-fotball/husmy,husmy,https://www.sofascore.com/api/v1/event/husmy/h2h/events,"('3-0',)","('0-0',)","('',)","('78;53;50;',)","('78;53;50;-',)","(9479307,)","('https://www.sofascore.com/api/v1/event/9479307/incidents',)"
Norway,Eliteserien,2021,Vålerenga IF,Tromsø IL,21/11/21,Round 27,https://www.sofascore.com/tromso-il-valerenga-if/knspy,knspy,https://www.sofascore.com/api/v1/event/knspy/h2h/events,"('1-1',)","('0-0',)","('81;',)","('52;',)","('52;-81;',)","(9479301,)","('https://www.sofascore.com/api/v1/event/9479301/incidents',)"
Norway,Eliteserien,2021,Molde FK,Rosenborg BK,22/11/21,Round 27,https://www.sofascore.com/molde-fk-rosenborg-bk/lnsly,lnsly,https://www.sofascore.com/api/v1/event/lnsly/h2h/events,"('4-1',)","('2-0',)","('56;',)","('89;61;39;29;',)","('89;61;39;29;-56;',)","(9479310,)","('https://www.sofascore.com/api/v1/event/9479310/incidents',)"
Norway,Eliteserien,2021,Sarpsborg 08,Stabæk Fotball,07/11/21,Round 26,https://www.sofascore.com/sarpsborg-08-stabaek-fotball/xqsmy,xqsmy,https://www.sofascore.com/api/v1/event/xqsmy/h2h/events,"('4-1',)","('1-0',)","('79;',)","('86;78;75;5;',)","('86;78;75;5;-79;',)","(9479309,)","('https://www.sofascore.com/api/v1/event/9479309/incidents',)"
Norway,Eliteserien,2021,SK Brann,Rosenborg BK,07/11/21,Round 26,https://www.sofascore.com/rosenborg-bk-sk-brann/jysly,jysly,https://www.sofascore.com/api/v1/event/jysly/h2h/events,"('2-2',)","('2-1',)","('54;16;',)","('25;23;',)","('25;23;-54;16;',)","(9479287,)","('https://www.sofascore.com/api/v1/event/9479287/incidents',)"
Norway,Eliteserien,2021,Haugesund,Bodø/Glimt,07/11/21,Round 26,https://www.sofascore.com/haugesund-bodoglimt/gnsyn,gnsyn,https://www.sofascore.com/api/v1/event/gnsyn/h2h/events,"('2-2',)","('1-0',)","('87;76;',)","('90;10;',)","('90;10;-87;76;',)","(9479321,)","('https://www.sofascore.com/api/v1/event/9479321/incidents',)"
Norway,Eliteserien,2021,Mjøndalen,Viking FK,07/11/21,Round 26,https://www.sofascore.com/mjondalen-viking-fk/dtsoy,dtsoy,https://www.sofascore.com/api/v1/event/dtsoy/h2h/events,"('0-1',)","('0-0',)","('90;',)","('',)","('-90;',)","(9479311,)","('https://www.sofascore.com/api/v1/event/9479311/incidents',)"
Norway,Eliteserien,2021,Molde FK,Sandefjord Fotball,07/11/21,Round 26,https://www.sofascore.com/sandefjord-fotball-molde-fk/lnsBn,lnsBn,https://www.sofascore.com/api/v1/event/lnsBn/h2h/events,"('3-1',)","('3-0',)","('83;',)","('35;15;9;',)","('35;15;9;-83;',)","(9479308,)","('https://www.sofascore.com/api/v1/event/9479308/incidents',)"
Norway,Eliteserien,2021,Odds BK,Kristiansund BK,07/11/21,Round 26,https://www.sofascore.com/kristiansund-bk-odds-bk/jnshu,jnshu,https://www.sofascore.com/api/v1/event/jnshu/h2h/events,"('2-4',)","('1-1',)","('77;54;48;4;',)","('64;1;',)","('64;1;-77;54;48;4;',)","(9479313,)","('https://www.sofascore.com/api/v1/event/9479313/incidents',)"
Norway,Eliteserien,2021,Tromsø IL,Strømsgodset,07/11/21,Round 26,https://www.sofascore.com/tromso-il-stromsgodset/knsny,knsny,https://www.sofascore.com/api/v1/event/knsny/h2h/events,"('1-1',)","('0-0',)","('62;',)","('83;',)","('83;-62;',)","(9479303,)","('https://www.sofascore.com/api/v1/event/9479303/incidents',)"
Norway,Eliteserien,2021,Lillestrøm SK,Vålerenga IF,08/11/21,Round 26,https://www.sofascore.com/lillestrom-sk-valerenga-if/onspy,onspy,https://www.sofascore.com/api/v1/event/onspy/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9479289,)","('https://www.sofascore.com/api/v1/event/9479289/incidents',)"
Norway,Eliteserien,2021,Kristiansund BK,Tromsø IL,30/10/21,Round 25,https://www.sofascore.com/kristiansund-bk-tromso-il/knshu,knshu,https://www.sofascore.com/api/v1/event/knshu/h2h/events,"('1-1',)","('1-1',)","('36;',)","('17;',)","('17;-36;',)","(9479298,)","('https://www.sofascore.com/api/v1/event/9479298/incidents',)"
Norway,Eliteserien,2021,Rosenborg BK,Lillestrøm SK,30/10/21,Round 25,https://www.sofascore.com/lillestrom-sk-rosenborg-bk/onsly,onsly,https://www.sofascore.com/api/v1/event/onsly/h2h/events,"('1-3',)","('1-0',)","('86;79;68;',)","('22;',)","('22;-86;79;68;',)","(9479290,)","('https://www.sofascore.com/api/v1/event/9479290/incidents',)"
Norway,Eliteserien,2021,Bodø/Glimt,Sandefjord Fotball,01/11/21,Round 25,https://www.sofascore.com/sandefjord-fotball-bodoglimt/gnsBn,gnsBn,https://www.sofascore.com/api/v1/event/gnsBn/h2h/events,"('1-0',)","('0-0',)","('',)","('63;',)","('63;-',)","(9479292,)","('https://www.sofascore.com/api/v1/event/9479292/incidents',)"
Norway,Eliteserien,2021,Odds BK,Mjøndalen,01/11/21,Round 25,https://www.sofascore.com/mjondalen-odds-bk/jnsdt,jnsdt,https://www.sofascore.com/api/v1/event/jnsdt/h2h/events,"('2-2',)","('2-0',)","('82;80;',)","('11;7;',)","('11;7;-82;80;',)","(9479293,)","('https://www.sofascore.com/api/v1/event/9479293/incidents',)"
Norway,Eliteserien,2021,Stabæk Fotball,Haugesund,01/11/21,Round 25,https://www.sofascore.com/haugesund-stabaek-fotball/ynsmy,ynsmy,https://www.sofascore.com/api/v1/event/ynsmy/h2h/events,"('2-1',)","('0-0',)","('69;',)","('84;76;',)","('84;76;-69;',)","(9479320,)","('https://www.sofascore.com/api/v1/event/9479320/incidents',)"
Norway,Eliteserien,2021,Strømsgodset,Molde FK,01/11/21,Round 25,https://www.sofascore.com/molde-fk-stromsgodset/lnsny,lnsny,https://www.sofascore.com/api/v1/event/lnsny/h2h/events,"('6-0',)","('3-0',)","('',)","('90;90;75;45;41;36;',)","('90;90;75;45;41;36;-',)","(9479294,)","('https://www.sofascore.com/api/v1/event/9479294/incidents',)"
Norway,Eliteserien,2021,Viking FK,Sarpsborg 08,01/11/21,Round 25,https://www.sofascore.com/sarpsborg-08-viking-fk/xqsoy,xqsoy,https://www.sofascore.com/api/v1/event/xqsoy/h2h/events,"('1-2',)","('1-1',)","('60;36;',)","('41;',)","('41;-60;36;',)","(9479297,)","('https://www.sofascore.com/api/v1/event/9479297/incidents',)"
Norway,Eliteserien,2021,Vålerenga IF,SK Brann,01/11/21,Round 25,https://www.sofascore.com/valerenga-if-sk-brann/jyspy,jyspy,https://www.sofascore.com/api/v1/event/jyspy/h2h/events,"('1-0',)","('1-0',)","('',)","('44;',)","('44;-',)","(9479291,)","('https://www.sofascore.com/api/v1/event/9479291/incidents',)"
Norway,Eliteserien,2021,Haugesund,Rosenborg BK,27/10/21,Round 24,https://www.sofascore.com/haugesund-rosenborg-bk/ynsly,ynsly,https://www.sofascore.com/api/v1/event/ynsly/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9479277,)","('https://www.sofascore.com/api/v1/event/9479277/incidents',)"
Norway,Eliteserien,2021,Lillestrøm SK,Stabæk Fotball,27/10/21,Round 24,https://www.sofascore.com/lillestrom-sk-stabaek-fotball/onsmy,onsmy,https://www.sofascore.com/api/v1/event/onsmy/h2h/events,"('3-0',)","('0-0',)","('',)","('83;63;56;',)","('83;63;56;-',)","(9479316,)","('https://www.sofascore.com/api/v1/event/9479316/incidents',)"
Norway,Eliteserien,2021,Mjøndalen,Kristiansund BK,27/10/21,Round 24,https://www.sofascore.com/kristiansund-bk-mjondalen/dtshu,dtshu,https://www.sofascore.com/api/v1/event/dtshu/h2h/events,"('5-0',)","('2-0',)","('',)","('83;71;57;44;37;',)","('83;71;57;44;37;-',)","(9479322,)","('https://www.sofascore.com/api/v1/event/9479322/incidents',)"
