country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
england-amateur,Premier League 2,20/21,Everton U23,Southampton U23,08/05/21,,https://www.sofascore.com/southampton-u23-everton-u23/dGoswhG,dGoswhG,https://www.sofascore.com/api/v1/event/dGoswhG/h2h/events,"('4-0',)","('2-0',)","('',)","('88;53;21;7;',)","('88;53;21;7;-',)","(9451925,)","('https://www.sofascore.com/api/v1/event/9451925/incidents',)"
england-amateur,Premier League 2,20/21,West Ham United U23,Arsenal U23,08/05/21,,https://www.sofascore.com/arsenal-u23-west-ham-united-u23/cGoseGo,cGoseGo,https://www.sofascore.com/api/v1/event/cGoseGo/h2h/events,"('6-1',)","('1-0',)","('90;',)","('83;76;66;58;56;12;',)","('83;76;66;58;56;12;-90;',)","(9692645,)","('https://www.sofascore.com/api/v1/event/9692645/incidents',)"
england-amateur,Premier League 2,20/21,Wolverhampton U23,Reading U23,10/05/21,,https://www.sofascore.com/reading-u23-wolverhampton-u23/bGosrhG,bGosrhG,https://www.sofascore.com/api/v1/event/bGosrhG/h2h/events,"('3-0',)","('2-0',)","('',)","('83;39;22;',)","('83;39;22;-',)","(9692834,)","('https://www.sofascore.com/api/v1/event/9692834/incidents',)"
england-amateur,Premier League 2,20/21,Sunderland U23,Stoke City U23,10/05/21,,https://www.sofascore.com/stoke-city-u23-sunderland-u23/WFosZFo,WFosZFo,https://www.sofascore.com/api/v1/event/WFosZFo/h2h/events,"('2-2',)","('1-1',)","('85;35;',)","('52;41;',)","('52;41;-85;35;',)","(9692897,)","('https://www.sofascore.com/api/v1/event/9692897/incidents',)"
england-amateur,Premier League 2,20/21,West Bromwich Albion U23,Norwich City U23,10/05/21,,https://www.sofascore.com/norwich-city-u23-west-bromwich-albion-u23/kvrsrMw,kvrsrMw,https://www.sofascore.com/api/v1/event/kvrsrMw/h2h/events,"('1-1',)","('1-1',)","('75;62;56;48;36;',)","('54;34;',)","('54;34;-75;62;56;48;36;',)","(9692860,)","('https://www.sofascore.com/api/v1/event/9692860/incidents',)"
england-amateur,Premier League 2,20/21,Leicester City U23,Liverpool U23,11/05/21,,https://www.sofascore.com/liverpool-u23-leicester-city-u23/gGoshkU,gGoshkU,https://www.sofascore.com/api/v1/event/gGoshkU/h2h/events,"('0-2',)","('0-0',)","('89;59;',)","('',)","('-89;59;',)","(8998236,)","('https://www.sofascore.com/api/v1/event/8998236/incidents',)"
england-amateur,Premier League 2,20/21,Manchester United U23,Derby County U23,11/05/21,,https://www.sofascore.com/manchester-united-u23-derby-county-u23/FCosYHrb,FCosYHrb,https://www.sofascore.com/api/v1/event/FCosYHrb/h2h/events,"('1-1',)","('0-0',)","('70;',)","('49;',)","('49;-70;',)","(9692720,)","('https://www.sofascore.com/api/v1/event/9692720/incidents',)"
england-amateur,Premier League 2,20/21,Stoke City U23,Sunderland U23,18/05/21,,https://www.sofascore.com/stoke-city-u23-sunderland-u23/WFosZFo,WFosZFo,https://www.sofascore.com/api/v1/event/WFosZFo/h2h/events,"('2-2',)","('1-1',)","('85;35;',)","('52;41;',)","('52;41;-85;35;',)","(9692897,)","('https://www.sofascore.com/api/v1/event/9692897/incidents',)"
england-amateur,Premier League 2,20/21,Crystal Palace U23,Wolverhampton U23,18/05/21,,https://www.sofascore.com/crystal-palace-u23-wolverhampton-u23/bGosuhG,bGosuhG,https://www.sofascore.com/api/v1/event/bGosuhG/h2h/events,"('2-2',)","('2-0',)","('75;47;',)","('100;35;7;',)","('100;35;7;-75;47;',)","(9525936,)","('https://www.sofascore.com/api/v1/event/9525936/incidents',)"
england-amateur,Premier League 2,20/21,Crystal Palace U23,Sunderland U23,25/05/21,,https://www.sofascore.com/crystal-palace-u23-sunderland-u23/WFosuhG,WFosuhG,https://www.sofascore.com/api/v1/event/WFosuhG/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9529870,)","('https://www.sofascore.com/api/v1/event/9529870/incidents',)"
