country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
England,Premier League,21/22,Brentford,Watford,11/12/21,Round 16,https://www.sofascore.com/brentford-watford/zab,zab,https://www.sofascore.com/api/v1/event/zab/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","('',)","('https://www.sofascore.com/api/v1/event//incidents',)"
England,Premier League,21/22,Manchester City,Wolverhampton,11/12/21,Round 16,https://www.sofascore.com/wolverhampton-manchester-city/dsr,dsr,https://www.sofascore.com/api/v1/event/dsr/h2h/events,"('4-1',)","('1-0',)","('61;',)","('90;90;80;15;',)","('90;90;80;15;-61;',)","(8897077,)","('https://www.sofascore.com/api/v1/event/8897077/incidents',)"
England,Premier League,21/22,Arsenal,Southampton,11/12/21,Round 16,https://www.sofascore.com/southampton-arsenal/RV,RV,https://www.sofascore.com/api/v1/event/RV/h2h/events,"('1-3',)","('1-2',)","('72;39;8;',)","('3;',)","('3;-72;39;8;',)","(8897045,)","('https://www.sofascore.com/api/v1/event/8897045/incidents',)"
England,Premier League,21/22,Chelsea,Leeds United,11/12/21,Round 16,https://www.sofascore.com/chelsea-leeds-united/JsN,JsN,https://www.sofascore.com/api/v1/event/JsN/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(8897063,)","('https://www.sofascore.com/api/v1/event/8897063/incidents',)"
England,Premier League,21/22,Liverpool,Aston Villa,11/12/21,Round 16,https://www.sofascore.com/liverpool-aston-villa/PU,PU,https://www.sofascore.com/api/v1/event/PU/h2h/events,"('2-1',)","('0-1',)","('43;',)","('90;57;',)","('90;57;-43;',)","(8897154,)","('https://www.sofascore.com/api/v1/event/8897154/incidents',)"
England,Premier League,21/22,Norwich City,Manchester United,12/12/21,Round 16,https://www.sofascore.com/manchester-united-norwich-city/Knf,Knf,https://www.sofascore.com/api/v1/event/Knf/h2h/events,"('4-0',)","('1-0',)","('',)","('76;54;52;27;',)","('76;54;52;27;-',)","(8243622,)","('https://www.sofascore.com/api/v1/event/8243622/incidents',)"
England,Premier League,21/22,Brighton & Hove Albion,Tottenham,12/12/21,Round 16,https://www.sofascore.com/tottenham-brighton-and-hove-albion/FsI,FsI,https://www.sofascore.com/api/v1/event/FsI/h2h/events,"('1-0',)","('1-0',)","('',)","('17;',)","('17;-',)","(8897039,)","('https://www.sofascore.com/api/v1/event/8897039/incidents',)"
England,Premier League,21/22,Burnley,West Ham United,12/12/21,Round 16,https://www.sofascore.com/burnley-west-ham-united/gsM,gsM,https://www.sofascore.com/api/v1/event/gsM/h2h/events,"('1-2',)","('1-2',)","('29;21;',)","('19;',)","('19;-29;21;',)","(8897212,)","('https://www.sofascore.com/api/v1/event/8897212/incidents',)"
England,Premier League,21/22,Leicester City,Newcastle United,12/12/21,Round 16,https://www.sofascore.com/newcastle-united-leicester-city/GO,GO,https://www.sofascore.com/api/v1/event/GO/h2h/events,"('2-4',)","('0-2',)","('73;64;34;22;',)","('87;80;',)","('87;80;-73;64;34;22;',)","(8897123,)","('https://www.sofascore.com/api/v1/event/8897123/incidents',)"
England,Premier League,21/22,Crystal Palace,Everton,12/12/21,Round 16,https://www.sofascore.com/crystal-palace-everton/hY,hY,https://www.sofascore.com/api/v1/event/hY/h2h/events,"('1-1',)","('0-0',)","('86;',)","('56;',)","('56;-86;',)","(8897189,)","('https://www.sofascore.com/api/v1/event/8897189/incidents',)"
