country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Spain,Primera División Femenina,21/22,Athletic Bilbao,Sporting Huelva,20/11/21,Round 11,https://www.sofascore.com/sporting-huelva-athletic-bilbao/ChGsGhG,ChGsGhG,https://www.sofascore.com/api/v1/event/ChGsGhG/h2h/events,"('2-2',)","('1-2',)","('24;7;',)","('81;22;',)","('81;22;-24;7;',)","(9696508,)","('https://www.sofascore.com/api/v1/event/9696508/incidents',)"
Spain,Primera División Femenina,21/22,Levante UD,Madrid CFF,20/11/21,Round 11,https://www.sofascore.com/levante-ud-madrid-cff/xqpsWCbc,xqpsWCbc,https://www.sofascore.com/api/v1/event/xqpsWCbc/h2h/events,"('4-0',)","('2-0',)","('',)","('52;50;37;15;',)","('52;50;37;15;-',)","(9696506,)","('https://www.sofascore.com/api/v1/event/9696506/incidents',)"
Spain,Primera División Femenina,21/22,Sevilla,Barcelona,20/11/21,Round 11,https://www.sofascore.com/sevilla-barcelona/OhGsdiG,OhGsdiG,https://www.sofascore.com/api/v1/event/OhGsdiG/h2h/events,"('1-10',)","('1-5',)","('90;86;83;82;58;36;27;17;6;2;',)","('44;',)","('44;-90;86;83;82;58;36;27;17;6;2;',)","(9696503,)","('https://www.sofascore.com/api/v1/event/9696503/incidents',)"
Spain,Primera División Femenina,21/22,Valencia,Real Betis,17:30,Round 11,https://www.sofascore.com/valencia-real-betis/jiGshwRb,jiGshwRb,https://www.sofascore.com/api/v1/event/jiGshwRb/h2h/events,"('1-2',)","('',)","('61;23;',)","('88;',)","('88;-61;23;',)","(9012517,)","('https://www.sofascore.com/api/v1/event/9012517/incidents',)"
Spain,Primera División Femenina,21/22,Real Sociedad,UD Granadilla Tenerife,18:00,Round 11,https://www.sofascore.com/real-sociedad-ud-granadilla-tenerife/XhGswjGb,XhGswjGb,https://www.sofascore.com/api/v1/event/XhGswjGb/h2h/events,"('1-2',)","('0-1',)","('54;21;',)","('47;',)","('47;-54;21;',)","(9012617,)","('https://www.sofascore.com/api/v1/event/9012617/incidents',)"
Spain,Primera División Femenina,21/22,SD Eibar,Atlético Madrid,18:00,Round 11,https://www.sofascore.com/atletico-madrid-sd-eibar/EhGseiVc,EhGseiVc,https://www.sofascore.com/api/v1/event/EhGseiVc/h2h/events,"('2-1',)","('1-1',)","('12;',)","('53;35;',)","('53;35;-12;',)","(9012483,)","('https://www.sofascore.com/api/v1/event/9012483/incidents',)"
Spain,Primera División Femenina,21/22,Rayo Vallecano,Villarreal CF,19:00,Round 11,https://www.sofascore.com/rayo-vallecano-villarreal-cf/NTosoCwc,NTosoCwc,https://www.sofascore.com/api/v1/event/NTosoCwc/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","('',)","('https://www.sofascore.com/api/v1/event//incidents',)"
Spain,Primera División Femenina,21/22,Real Madrid Femenino,Deportivo Alavés,22/11/21,Round 11,https://www.sofascore.com/deportivo-alaves-real-madrid-femenino/bbxcsyufd,bbxcsyufd,https://www.sofascore.com/api/v1/event/bbxcsyufd/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","('',)","('https://www.sofascore.com/api/v1/event//incidents',)"
Spain,Primera División Femenina,21/22,Atlético Madrid,Real Sociedad,13/11/21,Round 10,https://www.sofascore.com/real-sociedad-atletico-madrid/EhGsXhG,EhGsXhG,https://www.sofascore.com/api/v1/event/EhGsXhG/h2h/events,"('0-1',)","('0-0',)","('90;',)","('',)","('-90;',)","(9696497,)","('https://www.sofascore.com/api/v1/event/9696497/incidents',)"
Spain,Primera División Femenina,21/22,Barcelona,Levante UD,13/11/21,Round 10,https://www.sofascore.com/barcelona-levante-ud/xqpsOhG,xqpsOhG,https://www.sofascore.com/api/v1/event/xqpsOhG/h2h/events,"('4-0',)","('2-0',)","('',)","('90;66;43;13;',)","('90;66;43;13;-',)","(9696496,)","('https://www.sofascore.com/api/v1/event/9696496/incidents',)"
Spain,Primera División Femenina,21/22,Madrid CFF,Sporting Huelva,13/11/21,Round 10,https://www.sofascore.com/sporting-huelva-madrid-cff/GhGsWCbc,GhGsWCbc,https://www.sofascore.com/api/v1/event/GhGsWCbc/h2h/events,"('2-1',)","('1-1',)","('5;',)","('79;24;',)","('79;24;-5;',)","(9696498,)","('https://www.sofascore.com/api/v1/event/9696498/incidents',)"
Spain,Primera División Femenina,21/22,Real Betis,Real Madrid Femenino,14/11/21,Round 10,https://www.sofascore.com/real-madrid-femenino-real-betis/hwRbsbbxc,hwRbsbbxc,https://www.sofascore.com/api/v1/event/hwRbsbbxc/h2h/events,"('1-4',)","('0-2',)","('79;76;44;4;',)","('48;',)","('48;-79;76;44;4;',)","(9696495,)","('https://www.sofascore.com/api/v1/event/9696495/incidents',)"
Spain,Primera División Femenina,21/22,Rayo Vallecano,Athletic Bilbao,14/11/21,Round 10,https://www.sofascore.com/athletic-bilbao-rayo-vallecano/NTosChG,NTosChG,https://www.sofascore.com/api/v1/event/NTosChG/h2h/events,"('0-2',)","('0-2',)","('27;10;',)","('',)","('-27;10;',)","(9696499,)","('https://www.sofascore.com/api/v1/event/9696499/incidents',)"
Spain,Primera División Femenina,21/22,Villarreal CF,Sevilla,14/11/21,Round 10,https://www.sofascore.com/sevilla-villarreal-cf/diGsoCwc,diGsoCwc,https://www.sofascore.com/api/v1/event/diGsoCwc/h2h/events,"('2-3',)","('0-2',)","('70;24;22;',)","('90;49;',)","('90;49;-70;24;22;',)","(9696501,)","('https://www.sofascore.com/api/v1/event/9696501/incidents',)"
Spain,Primera División Femenina,21/22,Deportivo Alavés,SD Eibar,14/11/21,Round 10,https://www.sofascore.com/deportivo-alaves-sd-eibar/eiVcsyufd,eiVcsyufd,https://www.sofascore.com/api/v1/event/eiVcsyufd/h2h/events,"('1-0',)","('1-0',)","('',)","('45;',)","('45;-',)","(9696502,)","('https://www.sofascore.com/api/v1/event/9696502/incidents',)"
Spain,Primera División Femenina,21/22,UD Granadilla Tenerife,Valencia,15/11/21,Round 10,https://www.sofascore.com/valencia-ud-granadilla-tenerife/jiGswjGb,jiGswjGb,https://www.sofascore.com/api/v1/event/jiGswjGb/h2h/events,"('2-1',)","('1-0',)","('86;',)","('72;24;',)","('72;24;-86;',)","(9696500,)","('https://www.sofascore.com/api/v1/event/9696500/incidents',)"
Spain,Primera División Femenina,21/22,Real Madrid Femenino,Rayo Vallecano,06/11/21,Round 9,https://www.sofascore.com/rayo-vallecano-real-madrid-femenino/NTosbbxc,NTosbbxc,https://www.sofascore.com/api/v1/event/NTosbbxc/h2h/events,"('1-0',)","('0-0',)","('',)","('53;',)","('53;-',)","(9696491,)","('https://www.sofascore.com/api/v1/event/9696491/incidents',)"
Spain,Primera División Femenina,21/22,SD Eibar,Barcelona,06/11/21,Round 9,https://www.sofascore.com/barcelona-sd-eibar/OhGseiVc,OhGseiVc,https://www.sofascore.com/api/v1/event/OhGseiVc/h2h/events,"('0-3',)","('0-3',)","('39;25;20;',)","('',)","('-39;25;20;',)","(9696488,)","('https://www.sofascore.com/api/v1/event/9696488/incidents',)"
Spain,Primera División Femenina,21/22,Sporting Huelva,UD Granadilla Tenerife,06/11/21,Round 9,https://www.sofascore.com/sporting-huelva-ud-granadilla-tenerife/GhGswjGb,GhGswjGb,https://www.sofascore.com/api/v1/event/GhGswjGb/h2h/events,"('0-3',)","('0-1',)","('86;75;28;',)","('',)","('-86;75;28;',)","(9696490,)","('https://www.sofascore.com/api/v1/event/9696490/incidents',)"
Spain,Primera División Femenina,21/22,Villarreal CF,Madrid CFF,06/11/21,Round 9,https://www.sofascore.com/villarreal-cf-madrid-cff/WCbcsoCwc,WCbcsoCwc,https://www.sofascore.com/api/v1/event/WCbcsoCwc/h2h/events,"('0-3',)","('0-1',)","('85;77;36;35;',)","('',)","('-85;77;36;35;',)","(9696493,)","('https://www.sofascore.com/api/v1/event/9696493/incidents',)"
Spain,Primera División Femenina,21/22,Athletic Bilbao,Levante UD,06/11/21,Round 9,https://www.sofascore.com/athletic-bilbao-levante-ud/xqpsChG,xqpsChG,https://www.sofascore.com/api/v1/event/xqpsChG/h2h/events,"('2-3',)","('2-1',)","('85;69;18;',)","('26;4;',)","('26;4;-85;69;18;',)","(9696494,)","('https://www.sofascore.com/api/v1/event/9696494/incidents',)"
Spain,Primera División Femenina,21/22,Real Sociedad,Real Betis,06/11/21,Round 9,https://www.sofascore.com/real-sociedad-real-betis/XhGshwRb,XhGshwRb,https://www.sofascore.com/api/v1/event/XhGshwRb/h2h/events,"('4-0',)","('3-0',)","('',)","('57;25;22;4;',)","('57;25;22;4;-',)","(9696487,)","('https://www.sofascore.com/api/v1/event/9696487/incidents',)"
Spain,Primera División Femenina,21/22,Sevilla,Deportivo Alavés,06/11/21,Round 9,https://www.sofascore.com/sevilla-deportivo-alaves/diGsyufd,diGsyufd,https://www.sofascore.com/api/v1/event/diGsyufd/h2h/events,"('1-0',)","('',)","('',)","('86;',)","('86;-',)","(9696489,)","('https://www.sofascore.com/api/v1/event/9696489/incidents',)"
Spain,Primera División Femenina,21/22,Valencia,Atlético Madrid,07/11/21,Round 9,https://www.sofascore.com/valencia-atletico-madrid/EhGsjiG,EhGsjiG,https://www.sofascore.com/api/v1/event/EhGsjiG/h2h/events,"('1-1',)","('1-1',)","('11;',)","('35;',)","('35;-11;',)","(9696492,)","('https://www.sofascore.com/api/v1/event/9696492/incidents',)"
Spain,Primera División Femenina,21/22,Levante UD,Sporting Huelva,31/10/21,Round 8,https://www.sofascore.com/sporting-huelva-levante-ud/xqpsGhG,xqpsGhG,https://www.sofascore.com/api/v1/event/xqpsGhG/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9696485,)","('https://www.sofascore.com/api/v1/event/9696485/incidents',)"
Spain,Primera División Femenina,21/22,Real Betis,Athletic Bilbao,31/10/21,Round 8,https://www.sofascore.com/athletic-bilbao-real-betis/ChGshwRb,ChGshwRb,https://www.sofascore.com/api/v1/event/ChGshwRb/h2h/events,"('4-2',)","('4-0',)","('65;61;',)","('34;29;20;4;',)","('34;29;20;4;-65;61;',)","(9696479,)","('https://www.sofascore.com/api/v1/event/9696479/incidents',)"
Spain,Primera División Femenina,21/22,Atlético Madrid,Villarreal CF,31/10/21,Round 8,https://www.sofascore.com/atletico-madrid-villarreal-cf/EhGsoCwc,EhGsoCwc,https://www.sofascore.com/api/v1/event/EhGsoCwc/h2h/events,"('3-0',)","('2-0',)","('',)","('55;35;14;',)","('55;35;14;-',)","(9696481,)","('https://www.sofascore.com/api/v1/event/9696481/incidents',)"
Spain,Primera División Femenina,21/22,Barcelona,Real Sociedad,31/10/21,Round 8,https://www.sofascore.com/real-sociedad-barcelona/OhGsXhG,OhGsXhG,https://www.sofascore.com/api/v1/event/OhGsXhG/h2h/events,"('8-1',)","('',)","('9;',)","('90;87;83;65;62;38;23;3;',)","('90;87;83;65;62;38;23;3;-9;',)","(9696480,)","('https://www.sofascore.com/api/v1/event/9696480/incidents',)"
Spain,Primera División Femenina,21/22,Deportivo Alavés,UD Granadilla Tenerife,31/10/21,Round 8,https://www.sofascore.com/deportivo-alaves-ud-granadilla-tenerife/wjGbsyufd,wjGbsyufd,https://www.sofascore.com/api/v1/event/wjGbsyufd/h2h/events,"('1-1',)","('1-1',)","('24;',)","('33;',)","('33;-24;',)","(9696486,)","('https://www.sofascore.com/api/v1/event/9696486/incidents',)"
Spain,Primera División Femenina,21/22,Rayo Vallecano,Sevilla,31/10/21,Round 8,https://www.sofascore.com/sevilla-rayo-vallecano/NTosdiG,NTosdiG,https://www.sofascore.com/api/v1/event/NTosdiG/h2h/events,"('1-0',)","('',)","('',)","('48;',)","('48;-',)","(9696483,)","('https://www.sofascore.com/api/v1/event/9696483/incidents',)"
Spain,Primera División Femenina,21/22,Real Madrid Femenino,Valencia,31/10/21,Round 8,https://www.sofascore.com/valencia-real-madrid-femenino/jiGsbbxc,jiGsbbxc,https://www.sofascore.com/api/v1/event/jiGsbbxc/h2h/events,"('2-1',)","('2-0',)","('68;',)","('38;11;',)","('38;11;-68;',)","(9696484,)","('https://www.sofascore.com/api/v1/event/9696484/incidents',)"
Spain,Primera División Femenina,21/22,Madrid CFF,SD Eibar,01/11/21,Round 8,https://www.sofascore.com/sd-eibar-madrid-cff/WCbcseiVc,WCbcseiVc,https://www.sofascore.com/api/v1/event/WCbcseiVc/h2h/events,"('1-3',)","('0-1',)","('54;48;25;',)","('90;',)","('90;-54;48;25;',)","(9696482,)","('https://www.sofascore.com/api/v1/event/9696482/incidents',)"
Spain,Primera División Femenina,21/22,Valencia,Rayo Vallecano,16/10/21,Round 7,https://www.sofascore.com/valencia-rayo-vallecano/NTosjiG,NTosjiG,https://www.sofascore.com/api/v1/event/NTosjiG/h2h/events,"('1-0',)","('1-0',)","('',)","('44;',)","('44;-',)","(9696475,)","('https://www.sofascore.com/api/v1/event/9696475/incidents',)"
Spain,Primera División Femenina,21/22,Sevilla,Real Madrid Femenino,16/10/21,Round 7,https://www.sofascore.com/sevilla-real-madrid-femenino/diGsbbxc,diGsbbxc,https://www.sofascore.com/api/v1/event/diGsbbxc/h2h/events,"('3-0',)","('1-0',)","('',)","('81;52;9;',)","('81;52;9;-',)","(9696471,)","('https://www.sofascore.com/api/v1/event/9696471/incidents',)"
Spain,Primera División Femenina,21/22,SD Eibar,Real Betis,17/10/21,Round 7,https://www.sofascore.com/sd-eibar-real-betis/hwRbseiVc,hwRbseiVc,https://www.sofascore.com/api/v1/event/hwRbseiVc/h2h/events,"('1-2',)","('1-1',)","('52;12;',)","('7;',)","('7;-52;12;',)","(9696478,)","('https://www.sofascore.com/api/v1/event/9696478/incidents',)"
Spain,Primera División Femenina,21/22,Madrid CFF,Deportivo Alavés,17/10/21,Round 7,https://www.sofascore.com/deportivo-alaves-madrid-cff/WCbcsyufd,WCbcsyufd,https://www.sofascore.com/api/v1/event/WCbcsyufd/h2h/events,"('0-1',)","('0-0',)","('87;',)","('',)","('-87;',)","(9696473,)","('https://www.sofascore.com/api/v1/event/9696473/incidents',)"
Spain,Primera División Femenina,21/22,Sporting Huelva,Barcelona,17/10/21,Round 7,https://www.sofascore.com/barcelona-sporting-huelva/GhGsOhG,GhGsOhG,https://www.sofascore.com/api/v1/event/GhGsOhG/h2h/events,"('0-5',)","('0-1',)","('76;66;63;55;27;',)","('',)","('-76;66;63;55;27;',)","(9696472,)","('https://www.sofascore.com/api/v1/event/9696472/incidents',)"
Spain,Primera División Femenina,21/22,UD Granadilla Tenerife,Atlético Madrid,17/10/21,Round 7,https://www.sofascore.com/atletico-madrid-ud-granadilla-tenerife/EhGswjGb,EhGswjGb,https://www.sofascore.com/api/v1/event/EhGswjGb/h2h/events,"('1-1',)","('1-1',)","('4;',)","('14;',)","('14;-4;',)","(9696474,)","('https://www.sofascore.com/api/v1/event/9696474/incidents',)"
Spain,Primera División Femenina,21/22,Athletic Bilbao,Villarreal CF,17/10/21,Round 7,https://www.sofascore.com/athletic-bilbao-villarreal-cf/ChGsoCwc,ChGsoCwc,https://www.sofascore.com/api/v1/event/ChGsoCwc/h2h/events,"('2-1',)","('2-0',)","('48;',)","('25;7;',)","('25;7;-48;',)","(9696476,)","('https://www.sofascore.com/api/v1/event/9696476/incidents',)"
