country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
england-amateur,Professional Development League,21/22,Sheffield United U23,Swansea City U23,05/11/21,,https://www.sofascore.com/swansea-city-u23-sheffield-united-u23/uMwsPvGb,uMwsPvGb,https://www.sofascore.com/api/v1/event/uMwsPvGb/h2h/events,"('1-1',)","('0-1',)","('45;',)","('90;',)","('90;-45;',)","(9936892,)","('https://www.sofascore.com/api/v1/event/9936892/incidents',)"
england-amateur,Professional Development League,21/22,Barnsley U23,Hull City U23,08/11/21,,https://www.sofascore.com/barnsley-u23-hull-city-u23/MYFbsInFc,MYFbsInFc,https://www.sofascore.com/api/v1/event/MYFbsInFc/h2h/events,"('1-2',)","('1-0',)","('89;48;',)","('41;',)","('41;-89;48;',)","(9928730,)","('https://www.sofascore.com/api/v1/event/9928730/incidents',)"
england-amateur,Professional Development League,21/22,Colchester United U23,Millwall U23,09/11/21,,https://www.sofascore.com/millwall-u23-colchester-united-u23/xUZbsFnFc,xUZbsFnFc,https://www.sofascore.com/api/v1/event/xUZbsFnFc/h2h/events,"('2-0',)","('0-0',)","('',)","('90;70;',)","('90;70;-',)","(9929029,)","('https://www.sofascore.com/api/v1/event/9929029/incidents',)"
england-amateur,Professional Development League,21/22,Coventry City U23,Crewe Alexandra U23,09/11/21,,https://www.sofascore.com/coventry-city-u23-crewe-alexandra-u23/kNecsHnFc,kNecsHnFc,https://www.sofascore.com/api/v1/event/kNecsHnFc/h2h/events,"('3-1',)","('0-0',)","('71;',)","('61;58;48;',)","('61;58;48;-71;',)","(9931126,)","('https://www.sofascore.com/api/v1/event/9931126/incidents',)"
england-amateur,Professional Development League,21/22,Peterborough United U23,Sheffield United U23,09/11/21,,https://www.sofascore.com/peterborough-united-u23-sheffield-united-u23/PvGbstzfd,PvGbstzfd,https://www.sofascore.com/api/v1/event/PvGbstzfd/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","(9931127,)","('https://www.sofascore.com/api/v1/event/9931127/incidents',)"
england-amateur,Professional Development League,21/22,Queens Park Rangers U23,Ipswich Town U23,09/11/21,,https://www.sofascore.com/ipswich-town-u23-queens-park-rangers-u23/cqzcsVoFc,cqzcsVoFc,https://www.sofascore.com/api/v1/event/cqzcsVoFc/h2h/events,"('4-2',)","('1-1',)","('85;15;',)","('69;62;57;25;',)","('69;62;57;25;-85;15;',)","(9931128,)","('https://www.sofascore.com/api/v1/event/9931128/incidents',)"
england-amateur,Professional Development League,21/22,Peterborough United U23,Barnsley U23,19/11/21,,https://www.sofascore.com/peterborough-united-u23-barnsley-u23/InFcstzfd,InFcstzfd,https://www.sofascore.com/api/v1/event/InFcstzfd/h2h/events,"('0-1',)","('0-0',)","('46;',)","('',)","('-46;',)","(9953045,)","('https://www.sofascore.com/api/v1/event/9953045/incidents',)"
england-amateur,Professional Development League,21/22,Hull City U23,Coventry City U23,21/11/21,,https://www.sofascore.com/coventry-city-u23-hull-city-u23/MYFbsHnFc,MYFbsHnFc,https://www.sofascore.com/api/v1/event/MYFbsHnFc/h2h/events,"('6-0',)","('3-0',)","('',)","('90;70;54;44;17;15;',)","('90;70;54;44;17;15;-',)","(9956865,)","('https://www.sofascore.com/api/v1/event/9956865/incidents',)"
england-amateur,Professional Development League,21/22,Swansea City U23,Charlton Athletic U23,20:00,,https://www.sofascore.com/swansea-city-u23-charlton-athletic-u23/uMwsGnFc,uMwsGnFc,https://www.sofascore.com/api/v1/event/uMwsGnFc/h2h/events,"('3-4',)","('1-1',)","('80;74;72;31;',)","('88;62;17;',)","('88;62;17;-80;74;72;31;',)","(9023838,)","('https://www.sofascore.com/api/v1/event/9023838/incidents',)"
england-amateur,Professional Development League,21/22,Ipswich Town U23,Millwall U23,20:00,,https://www.sofascore.com/ipswich-town-u23-millwall-u23/FnFcsVoFc,FnFcsVoFc,https://www.sofascore.com/api/v1/event/FnFcsVoFc/h2h/events,"('0-1',)","('0-0',)","('90;',)","('',)","('-90;',)","(9023863,)","('https://www.sofascore.com/api/v1/event/9023863/incidents',)"
england-amateur,Professional Development League,21/22,Charlton Athletic U23,Bristol City U23,01/11/21,,https://www.sofascore.com/charlton-athletic-u23-bristol-city-u23/GOUbsGnFc,GOUbsGnFc,https://www.sofascore.com/api/v1/event/GOUbsGnFc/h2h/events,"('0-3',)","('0-1',)","('81;65;20;',)","('',)","('-81;65;20;',)","(9915480,)","('https://www.sofascore.com/api/v1/event/9915480/incidents',)"
england-amateur,Professional Development League,21/22,Ipswich Town U23,Colchester United U23,02/11/21,,https://www.sofascore.com/ipswich-town-u23-colchester-united-u23/xUZbsVoFc,xUZbsVoFc,https://www.sofascore.com/api/v1/event/xUZbsVoFc/h2h/events,"('2-0',)","('2-0',)","('',)","('35;3;',)","('35;3;-',)","(9861160,)","('https://www.sofascore.com/api/v1/event/9861160/incidents',)"
england-amateur,Professional Development League,21/22,Wigan Athletic U23,Hull City U23,02/11/21,,https://www.sofascore.com/wigan-athletic-u23-hull-city-u23/MYFbsXaQb,MYFbsXaQb,https://www.sofascore.com/api/v1/event/MYFbsXaQb/h2h/events,"('0-2',)","('0-1',)","('66;44;',)","('',)","('-66;44;',)","(9023816,)","('https://www.sofascore.com/api/v1/event/9023816/incidents',)"
england-amateur,Professional Development League,21/22,Swansea City U23,Cardiff City U23,02/11/21,,https://www.sofascore.com/swansea-city-u23-cardiff-city-u23/uMwsXCmc,uMwsXCmc,https://www.sofascore.com/api/v1/event/uMwsXCmc/h2h/events,"('1-3',)","('1-3',)","('33;29;3;',)","('12;',)","('12;-33;29;3;',)","(9916329,)","('https://www.sofascore.com/api/v1/event/9916329/incidents',)"
england-amateur,Professional Development League,21/22,Sheffield United U23,Sheffield Wednesday U23,02/11/21,,https://www.sofascore.com/sheffield-united-u23-sheffield-wednesday-u23/aPpbsPvGb,aPpbsPvGb,https://www.sofascore.com/api/v1/event/aPpbsPvGb/h2h/events,"('3-0',)","('1-0',)","('',)","('75;57;9;',)","('75;57;9;-',)","(9916328,)","('https://www.sofascore.com/api/v1/event/9916328/incidents',)"
england-amateur,Professional Development League,21/22,Barnsley U23,Coventry City U23,02/11/21,,https://www.sofascore.com/barnsley-u23-coventry-city-u23/HnFcsInFc,HnFcsInFc,https://www.sofascore.com/api/v1/event/HnFcsInFc/h2h/events,"('1-3',)","('',)","('90;36;6;',)","('73;',)","('73;-90;36;6;',)","(9918154,)","('https://www.sofascore.com/api/v1/event/9918154/incidents',)"
england-amateur,Professional Development League,21/22,Millwall U23,Watford U23,02/11/21,,https://www.sofascore.com/watford-u23-millwall-u23/nhGsFnFc,nhGsFnFc,https://www.sofascore.com/api/v1/event/nhGsFnFc/h2h/events,"('2-1',)","('1-1',)","('10;',)","('90;37;',)","('90;37;-10;',)","(9918155,)","('https://www.sofascore.com/api/v1/event/9918155/incidents',)"
