country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Saudi Arabia,Saudi Professional League,21/22,Al-Fateh,Damac FC,21:30,Round 13,https://www.sofascore.com/al-fateh-damac-fc/yvxsBHGb,yvxsBHGb,https://www.sofascore.com/api/v1/event/yvxsBHGb/h2h/events,"('1-1',)","('1-0',)","('65;',)","('43;',)","('43;-65;',)","(9302956,)","('https://www.sofascore.com/api/v1/event/9302956/incidents',)"
Saudi Arabia,Saudi Professional League,21/22,Al-Shabab,Al-Raed,23:40,Round 13,https://www.sofascore.com/al-raed-al-shabab/nLnsGvx,nLnsGvx,https://www.sofascore.com/api/v1/event/nLnsGvx/h2h/events,"('4-1',)","('3-0',)","('48;',)","('73;45;25;18;',)","('73;45;25;18;-48;',)","(9303176,)","('https://www.sofascore.com/api/v1/event/9303176/incidents',)"
Saudi Arabia,Saudi Professional League,21/22,Al-Taawoun,Al-Fayha,26/11/21,Round 13,https://www.sofascore.com/al-taawoun-al-fayha/wvxsUlrb,wvxsUlrb,https://www.sofascore.com/api/v1/event/wvxsUlrb/h2h/events,"('1-0',)","('0-0',)","('',)","('90;',)","('90;-',)","(8748700,)","('https://www.sofascore.com/api/v1/event/8748700/incidents',)"
Saudi Arabia,Saudi Professional League,21/22,Al-Ahli Saudi,Al-Nassr,26/11/21,Round 13,https://www.sofascore.com/al-ahli-saudi-al-nassr/atjsuOn,atjsuOn,https://www.sofascore.com/api/v1/event/atjsuOn/h2h/events,"('1-2',)","('0-1',)","('85;41;',)","('58;',)","('58;-85;41;',)","(9302929,)","('https://www.sofascore.com/api/v1/event/9302929/incidents',)"
Saudi Arabia,Saudi Professional League,21/22,Al-Batin,Al Hazem,27/11/21,Round 13,https://www.sofascore.com/al-hazem-al-batin/JlrbsLlrb,JlrbsLlrb,https://www.sofascore.com/api/v1/event/JlrbsLlrb/h2h/events,"('1-0',)","('0-0',)","('',)","('50;',)","('50;-',)","(7885147,)","('https://www.sofascore.com/api/v1/event/7885147/incidents',)"
Saudi Arabia,Saudi Professional League,21/22,Al-Ettifaq,Al-Faisaly,27/11/21,Round 13,https://www.sofascore.com/al-faisaly-al-ettifaq/tLnsKvx,tLnsKvx,https://www.sofascore.com/api/v1/event/tLnsKvx/h2h/events,"('1-0',)","('0-0',)","('',)","('82;',)","('82;-',)","(9302904,)","('https://www.sofascore.com/api/v1/event/9302904/incidents',)"
Saudi Arabia,Saudi Professional League,21/22,Al-Ittihad,Al Tai,27/11/21,Round 13,https://www.sofascore.com/al-ittihad-al-tai/pLnsxlrb,pLnsxlrb,https://www.sofascore.com/api/v1/event/pLnsxlrb/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","('',)","('https://www.sofascore.com/api/v1/event//incidents',)"
Saudi Arabia,Saudi Professional League,21/22,Abha,Al-Hilal Saudi,28/11/21,Round 13,https://www.sofascore.com/al-hilal-saudi-abha/VMisPlrb,VMisPlrb,https://www.sofascore.com/api/v1/event/VMisPlrb/h2h/events,"('2-3',)","('1-1',)","('90;75;11;',)","('67;13;',)","('67;13;-90;75;11;',)","(9303170,)","('https://www.sofascore.com/api/v1/event/9303170/incidents',)"
Saudi Arabia,Saudi Professional League,21/22,Al Tai,Al-Fateh,20/11/21,Round 12,https://www.sofascore.com/al-fateh-al-tai/yvxsxlrb,yvxsxlrb,https://www.sofascore.com/api/v1/event/yvxsxlrb/h2h/events,"('1-0',)","('0-0',)","('',)","('90;',)","('90;-',)","(9688912,)","('https://www.sofascore.com/api/v1/event/9688912/incidents',)"
Saudi Arabia,Saudi Professional League,21/22,Damac FC,Al-Fayha,20/11/21,Round 12,https://www.sofascore.com/damac-fc-al-fayha/UlrbsBHGb,UlrbsBHGb,https://www.sofascore.com/api/v1/event/UlrbsBHGb/h2h/events,"('1-0',)","('0-0',)","('',)","('83;',)","('83;-',)","(9688867,)","('https://www.sofascore.com/api/v1/event/9688867/incidents',)"
