country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Scotland,Premiership,21/22,Aberdeen,Motherwell,06/11/21,Round 13,https://www.sofascore.com/aberdeen-motherwell/WWsfX,WWsfX,https://www.sofascore.com/api/v1/event/WWsfX/h2h/events,"('0-2',)","('0-0',)","('57;50;',)","('',)","('-57;50;',)","(9574093,)","('https://www.sofascore.com/api/v1/event/9574093/incidents',)"
Scotland,Premiership,21/22,Heart of Midlothian,Dundee United,06/11/21,Round 13,https://www.sofascore.com/heart-of-midlothian-dundee-united/ZWsdX,ZWsdX,https://www.sofascore.com/api/v1/event/ZWsdX/h2h/events,"('5-2',)","('2-1',)","('62;34;',)","('86;76;50;25;22;',)","('86;76;50;25;22;-62;34;',)","(9574301,)","('https://www.sofascore.com/api/v1/event/9574301/incidents',)"
Scotland,Premiership,21/22,Livingston,Hibernian,06/11/21,Round 13,https://www.sofascore.com/livingston-hibernian/eXsgX,eXsgX,https://www.sofascore.com/api/v1/event/eXsgX/h2h/events,"('1-0',)","('1-0',)","('',)","('16;',)","('16;-',)","(9935157,)","('https://www.sofascore.com/api/v1/event/9935157/incidents',)"
Scotland,Premiership,21/22,St. Johnstone,St. Mirren,06/11/21,Round 13,https://www.sofascore.com/st-mirren-st-johnstone/YWsjX,YWsjX,https://www.sofascore.com/api/v1/event/YWsjX/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9573859,)","('https://www.sofascore.com/api/v1/event/9573859/incidents',)"
Scotland,Premiership,21/22,Dundee FC,Celtic,07/11/21,Round 13,https://www.sofascore.com/dundee-fc-celtic/cXshX,cXshX,https://www.sofascore.com/api/v1/event/cXshX/h2h/events,"('2-4',)","('1-2',)","('50;47;19;8;',)","('67;23;',)","('67;23;-50;47;19;8;',)","(9573850,)","('https://www.sofascore.com/api/v1/event/9573850/incidents',)"
Scotland,Premiership,21/22,Rangers,Ross County,07/11/21,Round 13,https://www.sofascore.com/ross-county-rangers/bXspX,bXspX,https://www.sofascore.com/api/v1/event/bXspX/h2h/events,"('4-2',)","('2-1',)","('87;5;',)","('60;49;30;19;',)","('60;49;30;19;-87;5;',)","(9574086,)","('https://www.sofascore.com/api/v1/event/9574086/incidents',)"
Scotland,Premiership,21/22,Livingston,Hibernian,09/12/21,Round 13,https://www.sofascore.com/livingston-hibernian/eXsgX,eXsgX,https://www.sofascore.com/api/v1/event/eXsgX/h2h/events,"('1-0',)","('1-0',)","('',)","('16;',)","('16;-',)","(9935157,)","('https://www.sofascore.com/api/v1/event/9935157/incidents',)"
Scotland,Premiership,21/22,Aberdeen,Heart of Midlothian,30/10/21,Round 12,https://www.sofascore.com/aberdeen-heart-of-midlothian/dXsfX,dXsfX,https://www.sofascore.com/api/v1/event/dXsfX/h2h/events,"('2-1',)","('0-1',)","('45;',)","('69;49;',)","('69;49;-45;',)","(9574327,)","('https://www.sofascore.com/api/v1/event/9574327/incidents',)"
Scotland,Premiership,21/22,Celtic,Livingston,30/10/21,Round 12,https://www.sofascore.com/livingston-celtic/cXsgX,cXsgX,https://www.sofascore.com/api/v1/event/cXsgX/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9574072,)","('https://www.sofascore.com/api/v1/event/9574072/incidents',)"
Scotland,Premiership,21/22,Dundee United,St. Johnstone,30/10/21,Round 12,https://www.sofascore.com/dundee-united-st-johnstone/YWsZW,YWsZW,https://www.sofascore.com/api/v1/event/YWsZW/h2h/events,"('0-1',)","('0-1',)","('17;',)","('',)","('-17;',)","(9574198,)","('https://www.sofascore.com/api/v1/event/9574198/incidents',)"
Scotland,Premiership,21/22,Ross County,Hibernian,30/10/21,Round 12,https://www.sofascore.com/ross-county-hibernian/eXspX,eXspX,https://www.sofascore.com/api/v1/event/eXspX/h2h/events,"('1-0',)","('0-0',)","('',)","('72;',)","('72;-',)","(9935158,)","('https://www.sofascore.com/api/v1/event/9935158/incidents',)"
Scotland,Premiership,21/22,St. Mirren,Dundee FC,30/10/21,Round 12,https://www.sofascore.com/st-mirren-dundee-fc/hXsjX,hXsjX,https://www.sofascore.com/api/v1/event/hXsjX/h2h/events,"('0-1',)","('0-1',)","('11;',)","('',)","('-11;',)","(9574120,)","('https://www.sofascore.com/api/v1/event/9574120/incidents',)"
Scotland,Premiership,21/22,Motherwell,Rangers,31/10/21,Round 12,https://www.sofascore.com/rangers-motherwell/WWsbX,WWsbX,https://www.sofascore.com/api/v1/event/WWsbX/h2h/events,"('1-6',)","('1-2',)","('90;85;75;63;45;43;',)","('13;',)","('13;-90;85;75;63;45;43;',)","(9574249,)","('https://www.sofascore.com/api/v1/event/9574249/incidents',)"
Scotland,Premiership,21/22,Ross County,Hibernian,04/11/21,Round 12,https://www.sofascore.com/ross-county-hibernian/eXspX,eXspX,https://www.sofascore.com/api/v1/event/eXspX/h2h/events,"('1-0',)","('0-0',)","('',)","('72;',)","('72;-',)","(9935158,)","('https://www.sofascore.com/api/v1/event/9935158/incidents',)"
Scotland,Premiership,21/22,Ross County,Hibernian,25/11/21,Round 12,https://www.sofascore.com/ross-county-hibernian/eXspX,eXspX,https://www.sofascore.com/api/v1/event/eXspX/h2h/events,"('1-0',)","('0-0',)","('',)","('72;',)","('72;-',)","(9935158,)","('https://www.sofascore.com/api/v1/event/9935158/incidents',)"
