country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Serbia,Superliga,21/22,FK Radnički 1923,FK Napredak Kruševac,27/11/21,Round 18,https://www.sofascore.com/fk-napredak-krusevac-fk-radnicki-1923/zddsGEr,zddsGEr,https://www.sofascore.com/api/v1/event/zddsGEr/h2h/events,"('1-2',)","('1-1',)","('64;28;',)","('2;',)","('2;-64;28;',)","(9588912,)","('https://www.sofascore.com/api/v1/event/9588912/incidents',)"
Serbia,Superliga,21/22,FK Metalac Gornji Milanovac,FK Čukarički,27/11/21,Round 18,https://www.sofascore.com/fk-cukaricki-fk-metalac-gornji-milanovac/YccsGok,YccsGok,https://www.sofascore.com/api/v1/event/YccsGok/h2h/events,"('0-3',)","('0-1',)","('72;53;32;',)","('',)","('-72;53;32;',)","(9588900,)","('https://www.sofascore.com/api/v1/event/9588900/incidents',)"
Serbia,Superliga,21/22,FK Kolubara Lazarevac,TSC Bačka Topola,28/11/21,Round 18,https://www.sofascore.com/fk-kolubara-lazarevac-tsc-backa-topola/ERoskrfc,ERoskrfc,https://www.sofascore.com/api/v1/event/ERoskrfc/h2h/events,"('2-1',)","('0-1',)","('18;',)","('79;60;',)","('79;60;-18;',)","(9588935,)","('https://www.sofascore.com/api/v1/event/9588935/incidents',)"
Serbia,Superliga,21/22,FK Radnički Niš,FK Radnik Surdulica,28/11/21,Round 18,https://www.sofascore.com/fk-radnicki-nis-fk-radnik-surdulica/MoksCxU,MoksCxU,https://www.sofascore.com/api/v1/event/MoksCxU/h2h/events,"('3-0',)","('2-0',)","('',)","('80;39;37;',)","('80;39;37;-',)","(9588936,)","('https://www.sofascore.com/api/v1/event/9588936/incidents',)"
Serbia,Superliga,21/22,FK Crvena zvezda,FK Spartak Subotica,28/11/21,Round 18,https://www.sofascore.com/fk-crvena-zvezda-fk-spartak-subotica/ZccsrOo,ZccsrOo,https://www.sofascore.com/api/v1/event/ZccsrOo/h2h/events,"('3-0',)","('1-0',)","('',)","('71;46;9;',)","('71;46;9;-',)","(9589016,)","('https://www.sofascore.com/api/v1/event/9589016/incidents',)"
Serbia,Superliga,21/22,FK Voždovac,FK Partizan,28/11/21,Round 18,https://www.sofascore.com/fk-vozdovac-fk-partizan/cdcsjdc,cdcsjdc,https://www.sofascore.com/api/v1/event/cdcsjdc/h2h/events,"('0-3',)","('0-1',)","('56;51;41;',)","('',)","('-56;51;41;',)","(9588910,)","('https://www.sofascore.com/api/v1/event/9588910/incidents',)"
Serbia,Superliga,21/22,FK Novi Pazar,FK Proleter Novi Sad,21:00,Round 18,https://www.sofascore.com/fk-proleter-novi-sad-fk-novi-pazar/LoksFRo,LoksFRo,https://www.sofascore.com/api/v1/event/LoksFRo/h2h/events,"('2-2',)","('0-1',)","('47;18;',)","('57;48;',)","('57;48;-47;18;',)","(9588850,)","('https://www.sofascore.com/api/v1/event/9588850/incidents',)"
Serbia,Superliga,21/22,FK Vojvodina,FK Mladost Lučani,23:00,Round 18,https://www.sofascore.com/fk-mladost-lucani-fk-vojvodina/adcswfd,adcswfd,https://www.sofascore.com/api/v1/event/adcswfd/h2h/events,"('0-2',)","('0-1',)","('90;25;',)","('',)","('-90;25;',)","(9964347,)","('https://www.sofascore.com/api/v1/event/9964347/incidents',)"
Serbia,Superliga,21/22,FK Proleter Novi Sad,FK Novi Pazar,30/07/21,Round 3,https://www.sofascore.com/fk-proleter-novi-sad-fk-novi-pazar/LoksFRo,LoksFRo,https://www.sofascore.com/api/v1/event/LoksFRo/h2h/events,"('2-2',)","('0-1',)","('47;18;',)","('57;48;',)","('57;48;-47;18;',)","(9588850,)","('https://www.sofascore.com/api/v1/event/9588850/incidents',)"
Serbia,Superliga,21/22,FK Napredak Kruševac,FK Radnički 1923,31/07/21,Round 3,https://www.sofascore.com/fk-napredak-krusevac-fk-radnicki-1923/zddsGEr,zddsGEr,https://www.sofascore.com/api/v1/event/zddsGEr/h2h/events,"('1-2',)","('1-1',)","('64;28;',)","('2;',)","('2;-64;28;',)","(9588912,)","('https://www.sofascore.com/api/v1/event/9588912/incidents',)"
Serbia,Superliga,21/22,FK Spartak Subotica,FK Crvena zvezda,31/07/21,Round 3,https://www.sofascore.com/fk-crvena-zvezda-fk-spartak-subotica/ZccsrOo,ZccsrOo,https://www.sofascore.com/api/v1/event/ZccsrOo/h2h/events,"('3-0',)","('1-0',)","('',)","('71;46;9;',)","('71;46;9;-',)","(9589016,)","('https://www.sofascore.com/api/v1/event/9589016/incidents',)"
Serbia,Superliga,21/22,FK Radnik Surdulica,FK Radnički Niš,01/08/21,Round 3,https://www.sofascore.com/fk-radnicki-nis-fk-radnik-surdulica/MoksCxU,MoksCxU,https://www.sofascore.com/api/v1/event/MoksCxU/h2h/events,"('3-0',)","('2-0',)","('',)","('80;39;37;',)","('80;39;37;-',)","(9588936,)","('https://www.sofascore.com/api/v1/event/9588936/incidents',)"
Serbia,Superliga,21/22,FK Čukarički,FK Metalac Gornji Milanovac,01/08/21,Round 3,https://www.sofascore.com/fk-cukaricki-fk-metalac-gornji-milanovac/YccsGok,YccsGok,https://www.sofascore.com/api/v1/event/YccsGok/h2h/events,"('0-3',)","('0-1',)","('72;53;32;',)","('',)","('-72;53;32;',)","(9588900,)","('https://www.sofascore.com/api/v1/event/9588900/incidents',)"
Serbia,Superliga,21/22,FK Mladost Lučani,FK Vojvodina,01/08/21,Round 3,https://www.sofascore.com/fk-mladost-lucani-fk-vojvodina/adcswfd,adcswfd,https://www.sofascore.com/api/v1/event/adcswfd/h2h/events,"('0-2',)","('0-1',)","('90;25;',)","('',)","('-90;25;',)","(9964347,)","('https://www.sofascore.com/api/v1/event/9964347/incidents',)"
Serbia,Superliga,21/22,FK Partizan,FK Voždovac,02/08/21,Round 3,https://www.sofascore.com/fk-vozdovac-fk-partizan/cdcsjdc,cdcsjdc,https://www.sofascore.com/api/v1/event/cdcsjdc/h2h/events,"('0-3',)","('0-1',)","('56;51;41;',)","('',)","('-56;51;41;',)","(9588910,)","('https://www.sofascore.com/api/v1/event/9588910/incidents',)"
Serbia,Superliga,21/22,TSC Bačka Topola,FK Kolubara Lazarevac,03/08/21,Round 3,https://www.sofascore.com/fk-kolubara-lazarevac-tsc-backa-topola/ERoskrfc,ERoskrfc,https://www.sofascore.com/api/v1/event/ERoskrfc/h2h/events,"('2-1',)","('0-1',)","('18;',)","('79;60;',)","('79;60;-18;',)","(9588935,)","('https://www.sofascore.com/api/v1/event/9588935/incidents',)"
Serbia,Superliga,21/22,FK Mladost Lučani,FK Vojvodina,25/11/21,Round 3,https://www.sofascore.com/fk-mladost-lucani-fk-vojvodina/adcswfd,adcswfd,https://www.sofascore.com/api/v1/event/adcswfd/h2h/events,"('0-2',)","('0-1',)","('90;25;',)","('',)","('-90;25;',)","(9964347,)","('https://www.sofascore.com/api/v1/event/9964347/incidents',)"
Serbia,Superliga,21/22,TSC Bačka Topola,FK Metalac Gornji Milanovac,20/11/21,Round 17,https://www.sofascore.com/tsc-backa-topola-fk-metalac-gornji-milanovac/Gokskrfc,Gokskrfc,https://www.sofascore.com/api/v1/event/Gokskrfc/h2h/events,"('1-2',)","('1-1',)","('90;21;',)","('23;',)","('23;-90;21;',)","(9588915,)","('https://www.sofascore.com/api/v1/event/9588915/incidents',)"
Serbia,Superliga,21/22,FK Proleter Novi Sad,FK Voždovac,20/11/21,Round 17,https://www.sofascore.com/fk-vozdovac-fk-proleter-novi-sad/jdcsFRo,jdcsFRo,https://www.sofascore.com/api/v1/event/jdcsFRo/h2h/events,"('1-0',)","('1-0',)","('',)","('30;',)","('30;-',)","(9588954,)","('https://www.sofascore.com/api/v1/event/9588954/incidents',)"
Serbia,Superliga,21/22,FK Radnik Surdulica,FK Kolubara Lazarevac,20/11/21,Round 17,https://www.sofascore.com/fk-kolubara-lazarevac-fk-radnik-surdulica/ERosCxU,ERosCxU,https://www.sofascore.com/api/v1/event/ERosCxU/h2h/events,"('1-1',)","('0-1',)","('28;',)","('86;',)","('86;-28;',)","(9588916,)","('https://www.sofascore.com/api/v1/event/9588916/incidents',)"
Serbia,Superliga,21/22,FK Napredak Kruševac,FK Radnički Niš,20/11/21,Round 17,https://www.sofascore.com/fk-napredak-krusevac-fk-radnicki-nis/zddsMok,zddsMok,https://www.sofascore.com/api/v1/event/zddsMok/h2h/events,"('1-1',)","('1-0',)","('50;',)","('26;',)","('26;-50;',)","(9588898,)","('https://www.sofascore.com/api/v1/event/9588898/incidents',)"
Serbia,Superliga,21/22,FK Mladost Lučani,FK Crvena zvezda,21/11/21,Round 17,https://www.sofascore.com/fk-mladost-lucani-fk-crvena-zvezda/Zccswfd,Zccswfd,https://www.sofascore.com/api/v1/event/Zccswfd/h2h/events,"('1-5',)","('1-1',)","('65;61;59;54;30;',)","('8;',)","('8;-65;61;59;54;30;',)","(9588909,)","('https://www.sofascore.com/api/v1/event/9588909/incidents',)"
Serbia,Superliga,21/22,FK Partizan,FK Vojvodina,21/11/21,Round 17,https://www.sofascore.com/fk-partizan-fk-vojvodina/adcscdc,adcscdc,https://www.sofascore.com/api/v1/event/adcscdc/h2h/events,"('4-1',)","('2-0',)","('48;',)","('72;69;42;35;',)","('72;69;42;35;-48;',)","(9589009,)","('https://www.sofascore.com/api/v1/event/9589009/incidents',)"
Serbia,Superliga,21/22,FK Spartak Subotica,FK Radnički 1923,21/11/21,Round 17,https://www.sofascore.com/fk-radnicki-1923-fk-spartak-subotica/rOosGEr,rOosGEr,https://www.sofascore.com/api/v1/event/rOosGEr/h2h/events,"('1-1',)","('0-0',)","('90;',)","('72;',)","('72;-90;',)","(9589040,)","('https://www.sofascore.com/api/v1/event/9589040/incidents',)"
Serbia,Superliga,21/22,FK Čukarički,FK Novi Pazar,22/11/21,Round 17,https://www.sofascore.com/fk-cukaricki-fk-novi-pazar/YccsLok,YccsLok,https://www.sofascore.com/api/v1/event/YccsLok/h2h/events,"('1-1',)","('0-1',)","('37;',)","('90;',)","('90;-37;',)","(9589005,)","('https://www.sofascore.com/api/v1/event/9589005/incidents',)"
Serbia,Superliga,21/22,FK Voždovac,FK Čukarički,05/11/21,Round 16,https://www.sofascore.com/fk-vozdovac-fk-cukaricki/Yccsjdc,Yccsjdc,https://www.sofascore.com/api/v1/event/Yccsjdc/h2h/events,"('1-1',)","('0-1',)","('7;',)","('68;',)","('68;-7;',)","(9588897,)","('https://www.sofascore.com/api/v1/event/9588897/incidents',)"
Serbia,Superliga,21/22,FK Novi Pazar,TSC Bačka Topola,06/11/21,Round 16,https://www.sofascore.com/tsc-backa-topola-fk-novi-pazar/Lokskrfc,Lokskrfc,https://www.sofascore.com/api/v1/event/Lokskrfc/h2h/events,"('1-1',)","('1-0',)","('68;',)","('12;',)","('12;-68;',)","(9589041,)","('https://www.sofascore.com/api/v1/event/9589041/incidents',)"
Serbia,Superliga,21/22,FK Kolubara Lazarevac,FK Napredak Kruševac,06/11/21,Round 16,https://www.sofascore.com/fk-napredak-krusevac-fk-kolubara-lazarevac/zddsERo,zddsERo,https://www.sofascore.com/api/v1/event/zddsERo/h2h/events,"('1-0',)","('1-0',)","('',)","('9;',)","('9;-',)","(9588995,)","('https://www.sofascore.com/api/v1/event/9588995/incidents',)"
Serbia,Superliga,21/22,FK Metalac Gornji Milanovac,FK Radnik Surdulica,06/11/21,Round 16,https://www.sofascore.com/fk-metalac-gornji-milanovac-fk-radnik-surdulica/GoksCxU,GoksCxU,https://www.sofascore.com/api/v1/event/GoksCxU/h2h/events,"('1-1',)","('0-1',)","('24;',)","('79;',)","('79;-24;',)","(9589010,)","('https://www.sofascore.com/api/v1/event/9589010/incidents',)"
Serbia,Superliga,21/22,FK Vojvodina,FK Crvena zvezda,07/11/21,Round 16,https://www.sofascore.com/fk-vojvodina-fk-crvena-zvezda/Zccsadc,Zccsadc,https://www.sofascore.com/api/v1/event/Zccsadc/h2h/events,"('1-2',)","('1-0',)","('61;53;',)","('30;',)","('30;-61;53;',)","(9589001,)","('https://www.sofascore.com/api/v1/event/9589001/incidents',)"
