country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Europe,UEFA Champions League,21/22,Milan,FC Porto,04/11/21,,https://www.sofascore.com/fc-porto-milan/Rdbsckb,Rdbsckb,https://www.sofascore.com/api/v1/event/Rdbsckb/h2h/events,"('1-1',)","('0-1',)","('6;',)","('61;',)","('61;-6;',)","(9757752,)","('https://www.sofascore.com/api/v1/event/9757752/incidents',)"
Europe,UEFA Champions League,21/22,Real Madrid,Shakhtar Donetsk,04/11/21,,https://www.sofascore.com/shakhtar-donetsk-real-madrid/Egbsnqb,Egbsnqb,https://www.sofascore.com/api/v1/event/Egbsnqb/h2h/events,"('2-1',)","('1-1',)","('39;',)","('61;14;',)","('61;14;-39;',)","(9757758,)","('https://www.sofascore.com/api/v1/event/9757758/incidents',)"
Europe,UEFA Champions League,21/22,Sporting CP,Beşiktaş JK,04/11/21,,https://www.sofascore.com/besiktas-jk-sporting-cp/bkbsalb,bkbsalb,https://www.sofascore.com/api/v1/event/bkbsalb/h2h/events,"('4-0',)","('3-0',)","('',)","('56;41;38;31;',)","('56;41;38;31;-',)","(9757736,)","('https://www.sofascore.com/api/v1/event/9757736/incidents',)"
Europe,UEFA Champions League,21/22,FC Sheriff Tiraspol,Inter,04/11/21,,https://www.sofascore.com/fc-sheriff-tiraspol-inter/Xdbsydc,Xdbsydc,https://www.sofascore.com/api/v1/event/Xdbsydc/h2h/events,"('1-3',)","('0-0',)","('82;65;54;',)","('90;',)","('90;-82;65;54;',)","(9757789,)","('https://www.sofascore.com/api/v1/event/9757789/incidents',)"
Europe,UEFA Champions League,21/22,Borussia Dortmund,Ajax,04/11/21,,https://www.sofascore.com/ajax-borussia-dortmund/ydbsdjb,ydbsdjb,https://www.sofascore.com/api/v1/event/ydbsdjb/h2h/events,"('1-3',)","('1-0',)","('90;83;72;',)","('37;',)","('37;-90;83;72;',)","(9757733,)","('https://www.sofascore.com/api/v1/event/9757733/incidents',)"
Europe,UEFA Champions League,21/22,Manchester City,Club Brugge,04/11/21,,https://www.sofascore.com/club-brugge-manchester-city/rsNhb,rsNhb,https://www.sofascore.com/api/v1/event/rsNhb/h2h/events,"('4-1',)","('1-1',)","('17;',)","('90;72;54;15;',)","('90;72;54;15;-17;',)","(9757762,)","('https://www.sofascore.com/api/v1/event/9757762/incidents',)"
Europe,UEFA Champions League,21/22,RB Leipzig,Paris Saint-Germain,04/11/21,,https://www.sofascore.com/rb-leipzig-paris-saint-germain/UHskCo,UHskCo,https://www.sofascore.com/api/v1/event/UHskCo/h2h/events,"('2-2',)","('1-2',)","('39;21;',)","('90;8;',)","('90;8;-39;21;',)","(9757764,)","('https://www.sofascore.com/api/v1/event/9757764/incidents',)"
Europe,UEFA Champions League,21/22,Liverpool,Atlético Madrid,04/11/21,,https://www.sofascore.com/liverpool-atletico-madrid/UsLgb,UsLgb,https://www.sofascore.com/api/v1/event/UsLgb/h2h/events,"('2-0',)","('2-0',)","('',)","('21;13;',)","('21;13;-',)","(9757751,)","('https://www.sofascore.com/api/v1/event/9757751/incidents',)"
Europe,UEFA Champions League,21/22,Villarreal,Manchester United,24/11/21,,https://www.sofascore.com/manchester-united-villarreal/Ksugb,Ksugb,https://www.sofascore.com/api/v1/event/Ksugb/h2h/events,"('2-1',)","('0-0',)","('53;',)","('90;60;',)","('90;60;-53;',)","(9757745,)","('https://www.sofascore.com/api/v1/event/9757745/incidents',)"
Europe,UEFA Champions League,21/22,Dynamo Kyiv,Bayern München,24/11/21,,https://www.sofascore.com/dynamo-kyiv-bayern-munchen/xdbsfqb,xdbsfqb,https://www.sofascore.com/api/v1/event/xdbsfqb/h2h/events,"('5-0',)","('2-0',)","('',)","('87;74;68;27;12;',)","('87;74;68;27;12;-',)","(9757787,)","('https://www.sofascore.com/api/v1/event/9757787/incidents',)"
