country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
South America,World Cup Qual. CONMEBOL,2022,Bolivia,Uruguay,17/11/21,Round 14,https://www.sofascore.com/bolivia-uruguay/AUbsWUb,AUbsWUb,https://www.sofascore.com/api/v1/event/AUbsWUb/h2h/events,"('3-0',)","('2-0',)","('',)","('79;45;30;',)","('79;45;30;-',)","(8524249,)","('https://www.sofascore.com/api/v1/event/8524249/incidents',)"
South America,World Cup Qual. CONMEBOL,2022,Venezuela,Peru,17/11/21,Round 14,https://www.sofascore.com/peru-venezuela/xUbsPVb,xUbsPVb,https://www.sofascore.com/api/v1/event/xUbsPVb/h2h/events,"('1-2',)","('0-1',)","('65;18;',)","('52;',)","('52;-65;18;',)","(8524245,)","('https://www.sofascore.com/api/v1/event/8524245/incidents',)"
South America,World Cup Qual. CONMEBOL,2022,Colombia,Paraguay,17/11/21,Round 14,https://www.sofascore.com/colombia-paraguay/OVbsvWb,OVbsvWb,https://www.sofascore.com/api/v1/event/OVbsvWb/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(8524252,)","('https://www.sofascore.com/api/v1/event/8524252/incidents',)"
South America,World Cup Qual. CONMEBOL,2022,Argentina,Brazil,17/11/21,Round 14,https://www.sofascore.com/argentina-brazil/YUbsuWb,YUbsuWb,https://www.sofascore.com/api/v1/event/YUbsuWb/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(8524253,)","('https://www.sofascore.com/api/v1/event/8524253/incidents',)"
South America,World Cup Qual. CONMEBOL,2022,Chile,Ecuador,17/11/21,Round 14,https://www.sofascore.com/ecuador-chile/eVbshVb,eVbshVb,https://www.sofascore.com/api/v1/event/eVbshVb/h2h/events,"('0-2',)","('0-1',)","('90;9;',)","('',)","('-90;9;',)","(8524247,)","('https://www.sofascore.com/api/v1/event/8524247/incidents',)"
South America,World Cup Qual. CONMEBOL,2022,Ecuador,Venezuela,12/11/21,Round 13,https://www.sofascore.com/ecuador-venezuela/xUbshVb,xUbshVb,https://www.sofascore.com/api/v1/event/xUbshVb/h2h/events,"('1-0',)","('1-0',)","('',)","('41;',)","('41;-',)","(8524250,)","('https://www.sofascore.com/api/v1/event/8524250/incidents',)"
South America,World Cup Qual. CONMEBOL,2022,Paraguay,Chile,12/11/21,Round 13,https://www.sofascore.com/paraguay-chile/eVbsOVb,eVbsOVb,https://www.sofascore.com/api/v1/event/eVbsOVb/h2h/events,"('0-1',)","('0-0',)","('56;',)","('',)","('-56;',)","(8524246,)","('https://www.sofascore.com/api/v1/event/8524246/incidents',)"
South America,World Cup Qual. CONMEBOL,2022,Brazil,Colombia,12/11/21,Round 13,https://www.sofascore.com/colombia-brazil/YUbsvWb,YUbsvWb,https://www.sofascore.com/api/v1/event/YUbsvWb/h2h/events,"('1-0',)","('0-0',)","('',)","('72;',)","('72;-',)","(8524234,)","('https://www.sofascore.com/api/v1/event/8524234/incidents',)"
South America,World Cup Qual. CONMEBOL,2022,Peru,Bolivia,12/11/21,Round 13,https://www.sofascore.com/peru-bolivia/WUbsPVb,WUbsPVb,https://www.sofascore.com/api/v1/event/WUbsPVb/h2h/events,"('3-0',)","('3-0',)","('',)","('39;31;9;',)","('39;31;9;-',)","(8524232,)","('https://www.sofascore.com/api/v1/event/8524232/incidents',)"
South America,World Cup Qual. CONMEBOL,2022,Uruguay,Argentina,13/11/21,Round 13,https://www.sofascore.com/argentina-uruguay/AUbsuWb,AUbsuWb,https://www.sofascore.com/api/v1/event/AUbsuWb/h2h/events,"('0-1',)","('0-1',)","('7;',)","('',)","('-7;',)","(8524233,)","('https://www.sofascore.com/api/v1/event/8524233/incidents',)"
