country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Denmark,Superliga,21/22,AGF,Silkeborg,27/11/21,Round 17,https://www.sofascore.com/agf-silkeborg/KAsQA,KAsQA,https://www.sofascore.com/api/v1/event/KAsQA/h2h/events,"('1-1',)","('1-0',)","('70;',)","('17;',)","('17;-70;',)","(9555093,)","('https://www.sofascore.com/api/v1/event/9555093/incidents',)"
Denmark,Superliga,21/22,OB,FC Nordsjælland,20:00,Round 17,https://www.sofascore.com/fc-nordsjaelland-ob/LAsRA,LAsRA,https://www.sofascore.com/api/v1/event/LAsRA/h2h/events,"('3-1',)","('1-0',)","('46;',)","('90;73;2;',)","('90;73;2;-46;',)","(9555049,)","('https://www.sofascore.com/api/v1/event/9555049/incidents',)"
Denmark,Superliga,21/22,Viborg FF,SønderjyskE,20:00,Round 17,https://www.sofascore.com/sonderjyske-viborg-ff/NAsVA,NAsVA,https://www.sofascore.com/api/v1/event/NAsVA/h2h/events,"('2-2',)","('1-1',)","('57;31;',)","('66;26;',)","('66;26;-57;31;',)","(9555073,)","('https://www.sofascore.com/api/v1/event/9555073/incidents',)"
Denmark,Superliga,21/22,Brøndby IF,Randers FC,22:00,Round 17,https://www.sofascore.com/randers-fc-brondby-if/GAsbB,GAsbB,https://www.sofascore.com/api/v1/event/GAsbB/h2h/events,"('1-1',)","('1-1',)","('40;',)","('10;',)","('10;-40;',)","(9554981,)","('https://www.sofascore.com/api/v1/event/9554981/incidents',)"
Denmark,Superliga,21/22,AaB,FC København,29/11/21,Round 17,https://www.sofascore.com/aab-fc-kobenhavn/JAsPA,JAsPA,https://www.sofascore.com/api/v1/event/JAsPA/h2h/events,"('2-2',)","('1-1',)","('69;37;',)","('47;38;',)","('47;38;-69;37;',)","(9620463,)","('https://www.sofascore.com/api/v1/event/9620463/incidents',)"
Denmark,Superliga,21/22,Vejle,FC Midtjylland,30/11/21,Round 17,https://www.sofascore.com/vejle-fc-midtjylland/OAsxXb,OAsxXb,https://www.sofascore.com/api/v1/event/OAsxXb/h2h/events,"('4-1',)","('1-0',)","('51;',)","('80;75;57;35;',)","('80;75;57;35;-51;',)","(9555046,)","('https://www.sofascore.com/api/v1/event/9555046/incidents',)"
Denmark,Superliga,21/22,OB,Viborg FF,20/11/21,Round 16,https://www.sofascore.com/viborg-ff-ob/LAsNA,LAsNA,https://www.sofascore.com/api/v1/event/LAsNA/h2h/events,"('2-3',)","('0-2',)","('68;35;18;',)","('77;50;',)","('77;50;-68;35;18;',)","(9554989,)","('https://www.sofascore.com/api/v1/event/9554989/incidents',)"
Denmark,Superliga,21/22,FC Nordsjælland,Silkeborg,21/11/21,Round 16,https://www.sofascore.com/fc-nordsjaelland-silkeborg/KAsRA,KAsRA,https://www.sofascore.com/api/v1/event/KAsRA/h2h/events,"('1-1',)","('1-0',)","('62;',)","('42;',)","('42;-62;',)","(9555001,)","('https://www.sofascore.com/api/v1/event/9555001/incidents',)"
Denmark,Superliga,21/22,Randers FC,Vejle,21/11/21,Round 16,https://www.sofascore.com/vejle-randers-fc/bBsxXb,bBsxXb,https://www.sofascore.com/api/v1/event/bBsxXb/h2h/events,"('4-1',)","('1-1',)","('45;',)","('65;50;48;37;',)","('65;50;48;37;-45;',)","(9555110,)","('https://www.sofascore.com/api/v1/event/9555110/incidents',)"
Denmark,Superliga,21/22,FC København,AGF,21/11/21,Round 16,https://www.sofascore.com/agf-fc-kobenhavn/JAsQA,JAsQA,https://www.sofascore.com/api/v1/event/JAsQA/h2h/events,"('1-1',)","('1-0',)","('90;',)","('45;',)","('45;-90;',)","(9554968,)","('https://www.sofascore.com/api/v1/event/9554968/incidents',)"
Denmark,Superliga,21/22,FC Midtjylland,Brøndby IF,22/11/21,Round 16,https://www.sofascore.com/fc-midtjylland-brondby-if/GAsOA,GAsOA,https://www.sofascore.com/api/v1/event/GAsOA/h2h/events,"('1-2',)","('1-2',)","('41;36;',)","('13;',)","('13;-41;36;',)","(9555014,)","('https://www.sofascore.com/api/v1/event/9555014/incidents',)"
Denmark,Superliga,21/22,SønderjyskE,AaB,23/11/21,Round 16,https://www.sofascore.com/sonderjyske-aab/PAsVA,PAsVA,https://www.sofascore.com/api/v1/event/PAsVA/h2h/events,"('1-3',)","('1-1',)","('90;54;38;',)","('35;',)","('35;-90;54;38;',)","(9555011,)","('https://www.sofascore.com/api/v1/event/9555011/incidents',)"
Denmark,Superliga,21/22,Viborg FF,FC Nordsjælland,06/11/21,Round 15,https://www.sofascore.com/fc-nordsjaelland-viborg-ff/NAsRA,NAsRA,https://www.sofascore.com/api/v1/event/NAsRA/h2h/events,"('2-2',)","('1-2',)","('28;26;',)","('90;12;',)","('90;12;-28;26;',)","(9554983,)","('https://www.sofascore.com/api/v1/event/9554983/incidents',)"
Denmark,Superliga,21/22,AaB,Randers FC,07/11/21,Round 15,https://www.sofascore.com/randers-fc-aab/PAsbB,PAsbB,https://www.sofascore.com/api/v1/event/PAsbB/h2h/events,"('1-1',)","('1-0',)","('56;',)","('1;',)","('1;-56;',)","(9554990,)","('https://www.sofascore.com/api/v1/event/9554990/incidents',)"
Denmark,Superliga,21/22,Vejle,SønderjyskE,07/11/21,Round 15,https://www.sofascore.com/vejle-sonderjyske/VAsxXb,VAsxXb,https://www.sofascore.com/api/v1/event/VAsxXb/h2h/events,"('3-1',)","('1-0',)","('90;',)","('63;59;33;',)","('63;59;33;-90;',)","(9555007,)","('https://www.sofascore.com/api/v1/event/9555007/incidents',)"
Denmark,Superliga,21/22,AGF,FC Midtjylland,07/11/21,Round 15,https://www.sofascore.com/agf-fc-midtjylland/OAsQA,OAsQA,https://www.sofascore.com/api/v1/event/OAsQA/h2h/events,"('3-0',)","('3-0',)","('',)","('41;23;16;',)","('41;23;16;-',)","(9555000,)","('https://www.sofascore.com/api/v1/event/9555000/incidents',)"
Denmark,Superliga,21/22,Brøndby IF,OB,08/11/21,Round 15,https://www.sofascore.com/ob-brondby-if/GAsLA,GAsLA,https://www.sofascore.com/api/v1/event/GAsLA/h2h/events,"('2-1',)","('1-1',)","('8;',)","('90;20;',)","('90;20;-8;',)","(9555111,)","('https://www.sofascore.com/api/v1/event/9555111/incidents',)"
Denmark,Superliga,21/22,Silkeborg,FC København,08/11/21,Round 15,https://www.sofascore.com/silkeborg-fc-kobenhavn/JAsKA,JAsKA,https://www.sofascore.com/api/v1/event/JAsKA/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9555022,)","('https://www.sofascore.com/api/v1/event/9555022/incidents',)"
Denmark,Superliga,21/22,FC Nordsjælland,AaB,31/10/21,Round 14,https://www.sofascore.com/fc-nordsjaelland-aab/PAsRA,PAsRA,https://www.sofascore.com/api/v1/event/PAsRA/h2h/events,"('0-2',)","('0-1',)","('71;45;',)","('',)","('-71;45;',)","(9555006,)","('https://www.sofascore.com/api/v1/event/9555006/incidents',)"
Denmark,Superliga,21/22,Randers FC,FC Midtjylland,31/10/21,Round 14,https://www.sofascore.com/randers-fc-fc-midtjylland/OAsbB,OAsbB,https://www.sofascore.com/api/v1/event/OAsbB/h2h/events,"('1-3',)","('0-2',)","('64;39;14;',)","('53;',)","('53;-64;39;14;',)","(9555095,)","('https://www.sofascore.com/api/v1/event/9555095/incidents',)"
Denmark,Superliga,21/22,FC København,Vejle,31/10/21,Round 14,https://www.sofascore.com/vejle-fc-kobenhavn/JAsxXb,JAsxXb,https://www.sofascore.com/api/v1/event/JAsxXb/h2h/events,"('3-0',)","('2-0',)","('',)","('63;29;16;',)","('63;29;16;-',)","(9554980,)","('https://www.sofascore.com/api/v1/event/9554980/incidents',)"
Denmark,Superliga,21/22,Viborg FF,Brøndby IF,01/11/21,Round 14,https://www.sofascore.com/viborg-ff-brondby-if/GAsNA,GAsNA,https://www.sofascore.com/api/v1/event/GAsNA/h2h/events,"('0-1',)","('0-0',)","('86;',)","('',)","('-86;',)","(9554969,)","('https://www.sofascore.com/api/v1/event/9554969/incidents',)"
Denmark,Superliga,21/22,SønderjyskE,Silkeborg,01/11/21,Round 14,https://www.sofascore.com/sonderjyske-silkeborg/KAsVA,KAsVA,https://www.sofascore.com/api/v1/event/KAsVA/h2h/events,"('0-6',)","('0-1',)","('85;77;67;61;47;18;',)","('',)","('-85;77;67;61;47;18;',)","(9554965,)","('https://www.sofascore.com/api/v1/event/9554965/incidents',)"
Denmark,Superliga,21/22,OB,AGF,02/11/21,Round 14,https://www.sofascore.com/agf-ob/LAsQA,LAsQA,https://www.sofascore.com/api/v1/event/LAsQA/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(9554996,)","('https://www.sofascore.com/api/v1/event/9554996/incidents',)"
Denmark,Superliga,21/22,Vejle,FC Nordsjælland,23/10/21,Round 13,https://www.sofascore.com/vejle-fc-nordsjaelland/RAsxXb,RAsxXb,https://www.sofascore.com/api/v1/event/RAsxXb/h2h/events,"('2-0',)","('2-0',)","('',)","('33;24;',)","('33;24;-',)","(9554971,)","('https://www.sofascore.com/api/v1/event/9554971/incidents',)"
Denmark,Superliga,21/22,Brøndby IF,FC København,24/10/21,Round 13,https://www.sofascore.com/fc-kobenhavn-brondby-if/GAsJA,GAsJA,https://www.sofascore.com/api/v1/event/GAsJA/h2h/events,"('2-1',)","('1-0',)","('64;',)","('57;23;',)","('57;23;-64;',)","(9555004,)","('https://www.sofascore.com/api/v1/event/9555004/incidents',)"
Denmark,Superliga,21/22,Silkeborg,OB,24/10/21,Round 13,https://www.sofascore.com/ob-silkeborg/KAsLA,KAsLA,https://www.sofascore.com/api/v1/event/KAsLA/h2h/events,"('1-1',)","('0-0',)","('90;',)","('74;',)","('74;-90;',)","(9554973,)","('https://www.sofascore.com/api/v1/event/9554973/incidents',)"
Denmark,Superliga,21/22,Randers FC,AGF,24/10/21,Round 13,https://www.sofascore.com/randers-fc-agf/QAsbB,QAsbB,https://www.sofascore.com/api/v1/event/QAsbB/h2h/events,"('1-0',)","('1-0',)","('',)","('19;',)","('19;-',)","(9554976,)","('https://www.sofascore.com/api/v1/event/9554976/incidents',)"
Denmark,Superliga,21/22,FC Midtjylland,SønderjyskE,24/10/21,Round 13,https://www.sofascore.com/sonderjyske-fc-midtjylland/OAsVA,OAsVA,https://www.sofascore.com/api/v1/event/OAsVA/h2h/events,"('3-2',)","('1-1',)","('90;6;',)","('90;54;42;',)","('90;54;42;-90;6;',)","(9555100,)","('https://www.sofascore.com/api/v1/event/9555100/incidents',)"
Denmark,Superliga,21/22,AaB,Viborg FF,26/10/21,Round 13,https://www.sofascore.com/aab-viborg-ff/NAsPA,NAsPA,https://www.sofascore.com/api/v1/event/NAsPA/h2h/events,"('2-5',)","('1-2',)","('79;68;51;45;9;',)","('76;45;',)","('76;45;-79;68;51;45;9;',)","(9555009,)","('https://www.sofascore.com/api/v1/event/9555009/incidents',)"
Denmark,Superliga,21/22,Viborg FF,Silkeborg,16/10/21,Round 12,https://www.sofascore.com/viborg-ff-silkeborg/KAsNA,KAsNA,https://www.sofascore.com/api/v1/event/KAsNA/h2h/events,"('1-1',)","('0-0',)","('64;',)","('66;',)","('66;-64;',)","(9554998,)","('https://www.sofascore.com/api/v1/event/9554998/incidents',)"
Denmark,Superliga,21/22,FC Nordsjælland,FC Midtjylland,17/10/21,Round 12,https://www.sofascore.com/fc-nordsjaelland-fc-midtjylland/OAsRA,OAsRA,https://www.sofascore.com/api/v1/event/OAsRA/h2h/events,"('2-2',)","('2-0',)","('62;48;',)","('28;14;',)","('28;14;-62;48;',)","(9555089,)","('https://www.sofascore.com/api/v1/event/9555089/incidents',)"
Denmark,Superliga,21/22,OB,Randers FC,17/10/21,Round 12,https://www.sofascore.com/randers-fc-ob/LAsbB,LAsbB,https://www.sofascore.com/api/v1/event/LAsbB/h2h/events,"('1-2',)","('1-0',)","('83;56;',)","('18;',)","('18;-83;56;',)","(9554991,)","('https://www.sofascore.com/api/v1/event/9554991/incidents',)"
Denmark,Superliga,21/22,Brøndby IF,Vejle,17/10/21,Round 12,https://www.sofascore.com/vejle-brondby-if/GAsxXb,GAsxXb,https://www.sofascore.com/api/v1/event/GAsxXb/h2h/events,"('3-2',)","('1-1',)","('57;26;',)","('86;82;31;',)","('86;82;31;-57;26;',)","(9555112,)","('https://www.sofascore.com/api/v1/event/9555112/incidents',)"
Denmark,Superliga,21/22,SønderjyskE,FC København,17/10/21,Round 12,https://www.sofascore.com/sonderjyske-fc-kobenhavn/JAsVA,JAsVA,https://www.sofascore.com/api/v1/event/JAsVA/h2h/events,"('1-1',)","('1-0',)","('65;',)","('33;',)","('33;-65;',)","(9554977,)","('https://www.sofascore.com/api/v1/event/9554977/incidents',)"
Denmark,Superliga,21/22,AGF,AaB,19/10/21,Round 12,https://www.sofascore.com/agf-aab/PAsQA,PAsQA,https://www.sofascore.com/api/v1/event/PAsQA/h2h/events,"('1-0',)","('1-0',)","('',)","('45;',)","('45;-',)","(9554987,)","('https://www.sofascore.com/api/v1/event/9554987/incidents',)"
Denmark,Superliga,21/22,OB,Vejle,02/10/21,Round 11,https://www.sofascore.com/vejle-ob/LAsxXb,LAsxXb,https://www.sofascore.com/api/v1/event/LAsxXb/h2h/events,"('6-0',)","('4-0',)","('',)","('82;79;25;8;5;2;',)","('82;79;25;8;5;2;-',)","(9554988,)","('https://www.sofascore.com/api/v1/event/9554988/incidents',)"
Denmark,Superliga,21/22,AaB,SønderjyskE,03/10/21,Round 11,https://www.sofascore.com/sonderjyske-aab/PAsVA,PAsVA,https://www.sofascore.com/api/v1/event/PAsVA/h2h/events,"('1-3',)","('1-1',)","('90;54;38;',)","('35;',)","('35;-90;54;38;',)","(9555011,)","('https://www.sofascore.com/api/v1/event/9555011/incidents',)"
Denmark,Superliga,21/22,Silkeborg,FC Nordsjælland,03/10/21,Round 11,https://www.sofascore.com/fc-nordsjaelland-silkeborg/KAsRA,KAsRA,https://www.sofascore.com/api/v1/event/KAsRA/h2h/events,"('1-1',)","('1-0',)","('62;',)","('42;',)","('42;-62;',)","(9555001,)","('https://www.sofascore.com/api/v1/event/9555001/incidents',)"
Denmark,Superliga,21/22,FC Midtjylland,AGF,03/10/21,Round 11,https://www.sofascore.com/agf-fc-midtjylland/OAsQA,OAsQA,https://www.sofascore.com/api/v1/event/OAsQA/h2h/events,"('3-0',)","('3-0',)","('',)","('41;23;16;',)","('41;23;16;-',)","(9555000,)","('https://www.sofascore.com/api/v1/event/9555000/incidents',)"
Denmark,Superliga,21/22,Randers FC,Brøndby IF,03/10/21,Round 11,https://www.sofascore.com/randers-fc-brondby-if/GAsbB,GAsbB,https://www.sofascore.com/api/v1/event/GAsbB/h2h/events,"('1-1',)","('1-1',)","('40;',)","('10;',)","('10;-40;',)","(9554981,)","('https://www.sofascore.com/api/v1/event/9554981/incidents',)"
Denmark,Superliga,21/22,FC København,Viborg FF,04/10/21,Round 11,https://www.sofascore.com/viborg-ff-fc-kobenhavn/JAsNA,JAsNA,https://www.sofascore.com/api/v1/event/JAsNA/h2h/events,"('1-1',)","('0-0',)","('90;',)","('77;',)","('77;-90;',)","(9555077,)","('https://www.sofascore.com/api/v1/event/9555077/incidents',)"
Denmark,Superliga,21/22,FC Midtjylland,Randers FC,26/09/21,Round 10,https://www.sofascore.com/randers-fc-fc-midtjylland/OAsbB,OAsbB,https://www.sofascore.com/api/v1/event/OAsbB/h2h/events,"('1-3',)","('0-2',)","('64;39;14;',)","('53;',)","('53;-64;39;14;',)","(9555095,)","('https://www.sofascore.com/api/v1/event/9555095/incidents',)"
Denmark,Superliga,21/22,Viborg FF,OB,26/09/21,Round 10,https://www.sofascore.com/viborg-ff-ob/LAsNA,LAsNA,https://www.sofascore.com/api/v1/event/LAsNA/h2h/events,"('2-3',)","('0-2',)","('68;35;18;',)","('77;50;',)","('77;50;-68;35;18;',)","(9554989,)","('https://www.sofascore.com/api/v1/event/9554989/incidents',)"
Denmark,Superliga,21/22,FC Nordsjælland,FC København,26/09/21,Round 10,https://www.sofascore.com/fc-nordsjaelland-fc-kobenhavn/JAsRA,JAsRA,https://www.sofascore.com/api/v1/event/JAsRA/h2h/events,"('1-5',)","('0-1',)","('80;64;57;49;19;',)","('52;',)","('52;-80;64;57;49;19;',)","(9555085,)","('https://www.sofascore.com/api/v1/event/9555085/incidents',)"
Denmark,Superliga,21/22,Brøndby IF,AaB,26/09/21,Round 10,https://www.sofascore.com/aab-brondby-if/GAsPA,GAsPA,https://www.sofascore.com/api/v1/event/GAsPA/h2h/events,"('2-1',)","('0-1',)","('27;',)","('76;49;',)","('76;49;-27;',)","(9555076,)","('https://www.sofascore.com/api/v1/event/9555076/incidents',)"
Denmark,Superliga,21/22,Vejle,Silkeborg,27/09/21,Round 10,https://www.sofascore.com/vejle-silkeborg/KAsxXb,KAsxXb,https://www.sofascore.com/api/v1/event/KAsxXb/h2h/events,"('2-4',)","('2-3',)","('78;37;30;26;',)","('33;14;',)","('33;14;-78;37;30;26;',)","(9555081,)","('https://www.sofascore.com/api/v1/event/9555081/incidents',)"
Denmark,Superliga,21/22,AGF,SønderjyskE,28/09/21,Round 10,https://www.sofascore.com/sonderjyske-agf/QAsVA,QAsVA,https://www.sofascore.com/api/v1/event/QAsVA/h2h/events,"('1-0',)","('1-0',)","('',)","('35;',)","('35;-',)","(9554964,)","('https://www.sofascore.com/api/v1/event/9554964/incidents',)"
Denmark,Superliga,21/22,AaB,OB,18/09/21,Round 9,https://www.sofascore.com/aab-ob/LAsPA,LAsPA,https://www.sofascore.com/api/v1/event/LAsPA/h2h/events,"('2-0',)","('0-0',)","('',)","('84;70;',)","('84;70;-',)","(9554962,)","('https://www.sofascore.com/api/v1/event/9554962/incidents',)"
Denmark,Superliga,21/22,Randers FC,FC Nordsjælland,19/09/21,Round 9,https://www.sofascore.com/randers-fc-fc-nordsjaelland/RAsbB,RAsbB,https://www.sofascore.com/api/v1/event/RAsbB/h2h/events,"('3-2',)","('3-2',)","('44;9;',)","('34;24;8;',)","('34;24;8;-44;9;',)","(9555086,)","('https://www.sofascore.com/api/v1/event/9555086/incidents',)"
Denmark,Superliga,21/22,Vejle,Viborg FF,19/09/21,Round 9,https://www.sofascore.com/vejle-viborg-ff/NAsxXb,NAsxXb,https://www.sofascore.com/api/v1/event/NAsxXb/h2h/events,"('1-1',)","('1-1',)","('14;',)","('36;',)","('36;-14;',)","(9555013,)","('https://www.sofascore.com/api/v1/event/9555013/incidents',)"
Denmark,Superliga,21/22,SønderjyskE,Brøndby IF,19/09/21,Round 9,https://www.sofascore.com/sonderjyske-brondby-if/GAsVA,GAsVA,https://www.sofascore.com/api/v1/event/GAsVA/h2h/events,"('1-0',)","('0-0',)","('',)","('90;',)","('90;-',)","(9555099,)","('https://www.sofascore.com/api/v1/event/9555099/incidents',)"
Denmark,Superliga,21/22,FC København,FC Midtjylland,19/09/21,Round 9,https://www.sofascore.com/fc-midtjylland-fc-kobenhavn/JAsOA,JAsOA,https://www.sofascore.com/api/v1/event/JAsOA/h2h/events,"('0-1',)","('0-0',)","('47;',)","('',)","('-47;',)","(9555094,)","('https://www.sofascore.com/api/v1/event/9555094/incidents',)"
Denmark,Superliga,21/22,Silkeborg,AGF,21/09/21,Round 9,https://www.sofascore.com/agf-silkeborg/KAsQA,KAsQA,https://www.sofascore.com/api/v1/event/KAsQA/h2h/events,"('1-1',)","('1-0',)","('70;',)","('17;',)","('17;-70;',)","(9555093,)","('https://www.sofascore.com/api/v1/event/9555093/incidents',)"
Denmark,Superliga,21/22,FC Midtjylland,FC Nordsjælland,10/09/21,Round 8,https://www.sofascore.com/fc-nordsjaelland-fc-midtjylland/OAsRA,OAsRA,https://www.sofascore.com/api/v1/event/OAsRA/h2h/events,"('2-2',)","('2-0',)","('62;48;',)","('28;14;',)","('28;14;-62;48;',)","(9555089,)","('https://www.sofascore.com/api/v1/event/9555089/incidents',)"
Denmark,Superliga,21/22,Brøndby IF,Silkeborg,11/09/21,Round 8,https://www.sofascore.com/silkeborg-brondby-if/GAsKA,GAsKA,https://www.sofascore.com/api/v1/event/GAsKA/h2h/events,"('1-1',)","('1-1',)","('20;',)","('39;',)","('39;-20;',)","(9555080,)","('https://www.sofascore.com/api/v1/event/9555080/incidents',)"
Denmark,Superliga,21/22,Viborg FF,AaB,12/09/21,Round 8,https://www.sofascore.com/aab-viborg-ff/NAsPA,NAsPA,https://www.sofascore.com/api/v1/event/NAsPA/h2h/events,"('2-5',)","('1-2',)","('79;68;51;45;9;',)","('76;45;',)","('76;45;-79;68;51;45;9;',)","(9555009,)","('https://www.sofascore.com/api/v1/event/9555009/incidents',)"
