country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Italy,Campionato Primavera 1,21/22,Atalanta U19,Cagliari U19,19/11/21,Round 9,https://www.sofascore.com/cagliari-u19-atalanta-u19/vQDsQFG,vQDsQFG,https://www.sofascore.com/api/v1/event/vQDsQFG/h2h/events,"('1-0',)","('1-0',)","('',)","('30;',)","('30;-',)","(9820572,)","('https://www.sofascore.com/api/v1/event/9820572/incidents',)"
Italy,Campionato Primavera 1,21/22,Milan U19,Juventus U19,19/11/21,Round 9,https://www.sofascore.com/juventus-u19-milan-u19/EerszrY,EerszrY,https://www.sofascore.com/api/v1/event/EerszrY/h2h/events,"('3-1',)","('1-1',)","('34;',)","('74;54;8;',)","('74;54;8;-34;',)","(9820535,)","('https://www.sofascore.com/api/v1/event/9820535/incidents',)"
Italy,Campionato Primavera 1,21/22,Genoa U19,Sampdoria U19,20/11/21,Round 9,https://www.sofascore.com/genoa-u19-sampdoria-u19/TFGslHG,TFGslHG,https://www.sofascore.com/api/v1/event/TFGslHG/h2h/events,"('2-4',)","('',)","('62;27;17;5;',)","('69;1;',)","('69;1;-62;27;17;5;',)","(9820533,)","('https://www.sofascore.com/api/v1/event/9820533/incidents',)"
Italy,Campionato Primavera 1,21/22,Sassuolo U19,Inter U19,20/11/21,Round 9,https://www.sofascore.com/sassuolo-u19-inter-u19/DersrHA,DersrHA,https://www.sofascore.com/api/v1/event/DersrHA/h2h/events,"('1-0',)","('1-0',)","('',)","('45;',)","('45;-',)","(9820536,)","('https://www.sofascore.com/api/v1/event/9820536/incidents',)"
Italy,Campionato Primavera 1,21/22,Empoli U19,Fiorentina U19,20/11/21,Round 9,https://www.sofascore.com/empoli-u19-fiorentina-u19/qZqsVFG,qZqsVFG,https://www.sofascore.com/api/v1/event/qZqsVFG/h2h/events,"('2-0',)","('2-0',)","('',)","('5;2;',)","('5;2;-',)","(9820549,)","('https://www.sofascore.com/api/v1/event/9820549/incidents',)"
Italy,Campionato Primavera 1,21/22,Torino U19,Napoli U19,21/11/21,Round 9,https://www.sofascore.com/torino-u19-napoli-u19/pZqsXHA,pZqsXHA,https://www.sofascore.com/api/v1/event/pZqsXHA/h2h/events,"('1-2',)","('1-1',)","('60;7;',)","('13;',)","('13;-60;7;',)","(9820666,)","('https://www.sofascore.com/api/v1/event/9820666/incidents',)"
Italy,Campionato Primavera 1,21/22,Lecce U19,SPAL U19,21/11/21,Round 9,https://www.sofascore.com/lecce-u19-spal-u19/bgRbsBBoc,bgRbsBBoc,https://www.sofascore.com/api/v1/event/bgRbsBBoc/h2h/events,"('1-5',)","('1-3',)","('56;52;35;32;14;',)","('2;',)","('2;-56;52;35;32;14;',)","(9820534,)","('https://www.sofascore.com/api/v1/event/9820534/incidents',)"
Italy,Campionato Primavera 1,21/22,Pescara U19,Hellas Verona U19,19:00,Round 9,https://www.sofascore.com/pescara-u19-hellas-verona-u19/ZFGsnGG,ZFGsnGG,https://www.sofascore.com/api/v1/event/ZFGsnGG/h2h/events,"('0-1',)","('0-1',)","('37;',)","('',)","('-37;',)","(9820548,)","('https://www.sofascore.com/api/v1/event/9820548/incidents',)"
Italy,Campionato Primavera 1,21/22,Roma U19,Bologna U19,21:00,Round 9,https://www.sofascore.com/bologna-u19-roma-u19/GersXFG,GersXFG,https://www.sofascore.com/api/v1/event/GersXFG/h2h/events,"('2-4',)","('0-3',)","('46;42;17;14;',)","('57;55;',)","('57;55;-46;42;17;14;',)","(9005048,)","('https://www.sofascore.com/api/v1/event/9005048/incidents',)"
Italy,Campionato Primavera 1,21/22,Bologna U19,Cagliari U19,06/11/21,Round 8,https://www.sofascore.com/bologna-u19-cagliari-u19/QFGsXFG,QFGsXFG,https://www.sofascore.com/api/v1/event/QFGsXFG/h2h/events,"('2-3',)","('1-2',)","('73;13;9;',)","('80;40;',)","('80;40;-73;13;9;',)","(9784812,)","('https://www.sofascore.com/api/v1/event/9784812/incidents',)"
Italy,Campionato Primavera 1,21/22,Juventus U19,Genoa U19,06/11/21,Round 8,https://www.sofascore.com/genoa-u19-juventus-u19/EerslHG,EerslHG,https://www.sofascore.com/api/v1/event/EerslHG/h2h/events,"('2-1',)","('',)","('77;',)","('90;39;',)","('90;39;-77;',)","(9784819,)","('https://www.sofascore.com/api/v1/event/9784819/incidents',)"
Italy,Campionato Primavera 1,21/22,Sampdoria U19,Pescara U19,06/11/21,Round 8,https://www.sofascore.com/pescara-u19-sampdoria-u19/TFGsnGG,TFGsnGG,https://www.sofascore.com/api/v1/event/TFGsnGG/h2h/events,"('2-0',)","('1-0',)","('',)","('79;10;',)","('79;10;-',)","(9784815,)","('https://www.sofascore.com/api/v1/event/9784815/incidents',)"
Italy,Campionato Primavera 1,21/22,Napoli U19,Sassuolo U19,06/11/21,Round 8,https://www.sofascore.com/sassuolo-u19-napoli-u19/pZqsrHA,pZqsrHA,https://www.sofascore.com/api/v1/event/pZqsrHA/h2h/events,"('1-1',)","('',)","('4;',)","('90;',)","('90;-4;',)","(9784817,)","('https://www.sofascore.com/api/v1/event/9784817/incidents',)"
