country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
South Korea,K League 1,2021,Pohang Steelers,Gangwon FC,03/11/21,,https://www.sofascore.com/pohang-steelers-gangwon-fc/addsvJn,addsvJn,https://www.sofascore.com/api/v1/event/addsvJn/h2h/events,"('4-0',)","('0-0',)","('',)","('90;90;82;66;',)","('90;90;82;66;-',)","(9918693,)","('https://www.sofascore.com/api/v1/event/9918693/incidents',)"
South Korea,K League 1,2021,Seongnam FC,Incheon United,03/11/21,,https://www.sofascore.com/seongnam-fc-incheon-united/Ycdsbdd,Ycdsbdd,https://www.sofascore.com/api/v1/event/Ycdsbdd/h2h/events,"('1-1',)","('1-1',)","('38;',)","('6;',)","('6;-38;',)","(9918690,)","('https://www.sofascore.com/api/v1/event/9918690/incidents',)"
South Korea,K League 1,2021,Jeju United,Suwon Samsung Bluewings,06/11/21,,https://www.sofascore.com/suwon-samsung-bluewings-jeju-united/Zcdscdd,Zcdscdd,https://www.sofascore.com/api/v1/event/Zcdscdd/h2h/events,"('2-0',)","('1-0',)","('',)","('74;27;',)","('74;27;-',)","(9918694,)","('https://www.sofascore.com/api/v1/event/9918694/incidents',)"
South Korea,K League 1,2021,Suwon FC,Daegu FC,06/11/21,,https://www.sofascore.com/daegu-fc-suwon-fc/UcdslAq,UcdslAq,https://www.sofascore.com/api/v1/event/UcdslAq/h2h/events,"('1-2',)","('1-2',)","('32;20;',)","('7;',)","('7;-32;20;',)","(9918691,)","('https://www.sofascore.com/api/v1/event/9918691/incidents',)"
South Korea,K League 1,2021,Jeonbuk Hyundai Motors,Ulsan Hyundai,06/11/21,,https://www.sofascore.com/ulsan-hyundai-jeonbuk-hyundai-motors/iNcsddd,iNcsddd,https://www.sofascore.com/api/v1/event/iNcsddd/h2h/events,"('3-2',)","('1-1',)","('79;38;',)","('90;65;24;',)","('90;65;24;-79;38;',)","(9918695,)","('https://www.sofascore.com/api/v1/event/9918695/incidents',)"
South Korea,K League 1,2021,Pohang Steelers,Gwangju FC,07/11/21,,https://www.sofascore.com/pohang-steelers-gwangju-fc/addsmDu,addsmDu,https://www.sofascore.com/api/v1/event/addsmDu/h2h/events,"('1-2',)","('0-1',)","('48;45;',)","('88;',)","('88;-48;45;',)","(9921676,)","('https://www.sofascore.com/api/v1/event/9921676/incidents',)"
South Korea,K League 1,2021,Gangwon FC,Incheon United,07/11/21,,https://www.sofascore.com/incheon-united-gangwon-fc/YcdsvJn,YcdsvJn,https://www.sofascore.com/api/v1/event/YcdsvJn/h2h/events,"('1-1',)","('0-0',)","('78;',)","('74;',)","('74;-78;',)","(9921671,)","('https://www.sofascore.com/api/v1/event/9921671/incidents',)"
South Korea,K League 1,2021,FC Seoul,Seongnam FC,07/11/21,,https://www.sofascore.com/seongnam-fc-fc-seoul/Wcdsbdd,Wcdsbdd,https://www.sofascore.com/api/v1/event/Wcdsbdd/h2h/events,"('3-0',)","('1-0',)","('',)","('89;58;16;',)","('89;58;16;-',)","(9921672,)","('https://www.sofascore.com/api/v1/event/9921672/incidents',)"
South Korea,K League 1,2021,Suwon FC,Jeonbuk Hyundai Motors,12:00,,https://www.sofascore.com/jeonbuk-hyundai-motors-suwon-fc/iNcslAq,iNcslAq,https://www.sofascore.com/api/v1/event/iNcslAq/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","('',)","('https://www.sofascore.com/api/v1/event//incidents',)"
South Korea,K League 1,2021,Ulsan Hyundai,Jeju United,14:30,,https://www.sofascore.com/ulsan-hyundai-jeju-united/Zcdsddd,Zcdsddd,https://www.sofascore.com/api/v1/event/Zcdsddd/h2h/events,"('0-1',)","('0-0',)","('65;',)","('',)","('-65;',)","(8032833,)","('https://www.sofascore.com/api/v1/event/8032833/incidents',)"
South Korea,K League 1,2021,Daegu FC,Suwon Samsung Bluewings,24/10/21,,https://www.sofascore.com/suwon-samsung-bluewings-daegu-fc/Ucdscdd,Ucdscdd,https://www.sofascore.com/api/v1/event/Ucdscdd/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","('',)","('https://www.sofascore.com/api/v1/event//incidents',)"
South Korea,K League 1,2021,Jeju United,Jeonbuk Hyundai Motors,24/10/21,,https://www.sofascore.com/jeju-united-jeonbuk-hyundai-motors/iNcsZcd,iNcsZcd,https://www.sofascore.com/api/v1/event/iNcsZcd/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(8032831,)","('https://www.sofascore.com/api/v1/event/8032831/incidents',)"
South Korea,K League 1,2021,Seongnam FC,Ulsan Hyundai,24/10/21,,https://www.sofascore.com/ulsan-hyundai-seongnam-fc/bddsddd,bddsddd,https://www.sofascore.com/api/v1/event/bddsddd/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","(1551591,)","('https://www.sofascore.com/api/v1/event/1551591/incidents',)"
South Korea,K League 1,2021,Incheon United,FC Seoul,30/10/21,,https://www.sofascore.com/incheon-united-fc-seoul/WcdsYcd,WcdsYcd,https://www.sofascore.com/api/v1/event/WcdsYcd/h2h/events,"('2-0',)","('0-0',)","('',)","('90;78;',)","('90;78;-',)","(9916738,)","('https://www.sofascore.com/api/v1/event/9916738/incidents',)"
South Korea,K League 1,2021,Suwon Samsung Bluewings,Jeonbuk Hyundai Motors,30/10/21,,https://www.sofascore.com/suwon-samsung-bluewings-jeonbuk-hyundai-motors/iNcscdd,iNcscdd,https://www.sofascore.com/api/v1/event/iNcscdd/h2h/events,"('0-4',)","('0-1',)","('82;73;67;11;',)","('',)","('-82;73;67;11;',)","(9916739,)","('https://www.sofascore.com/api/v1/event/9916739/incidents',)"
South Korea,K League 1,2021,Seongnam FC,Pohang Steelers,30/10/21,,https://www.sofascore.com/seongnam-fc-pohang-steelers/addsbdd,addsbdd,https://www.sofascore.com/api/v1/event/addsbdd/h2h/events,"('1-0',)","('1-0',)","('',)","('45;',)","('45;-',)","(9916741,)","('https://www.sofascore.com/api/v1/event/9916741/incidents',)"
South Korea,K League 1,2021,Daegu FC,Jeju United,31/10/21,,https://www.sofascore.com/jeju-united-daegu-fc/UcdsZcd,UcdsZcd,https://www.sofascore.com/api/v1/event/UcdsZcd/h2h/events,"('0-5',)","('0-2',)","('78;67;50;37;32;',)","('',)","('-78;67;50;37;32;',)","(9916740,)","('https://www.sofascore.com/api/v1/event/9916740/incidents',)"
South Korea,K League 1,2021,Ulsan Hyundai,Suwon FC,31/10/21,,https://www.sofascore.com/ulsan-hyundai-suwon-fc/dddslAq,dddslAq,https://www.sofascore.com/api/v1/event/dddslAq/h2h/events,"('3-2',)","('2-1',)","('56;34;',)","('72;14;10;',)","('72;14;10;-56;34;',)","(9916742,)","('https://www.sofascore.com/api/v1/event/9916742/incidents',)"
South Korea,K League 1,2021,Gwangju FC,Gangwon FC,31/10/21,,https://www.sofascore.com/gwangju-fc-gangwon-fc/vJnsmDu,vJnsmDu,https://www.sofascore.com/api/v1/event/vJnsmDu/h2h/events,"('2-2',)","('0-1',)","('90;30;',)","('71;59;',)","('71;59;-90;30;',)","(9916743,)","('https://www.sofascore.com/api/v1/event/9916743/incidents',)"
South Korea,K League 1,2021,Gwangju FC,FC Seoul,03/11/21,,https://www.sofascore.com/fc-seoul-gwangju-fc/WcdsmDu,WcdsmDu,https://www.sofascore.com/api/v1/event/WcdsmDu/h2h/events,"('3-4',)","('1-0',)","('88;79;68;65;',)","('51;46;43;',)","('51;46;43;-88;79;68;65;',)","(9918692,)","('https://www.sofascore.com/api/v1/event/9918692/incidents',)"
South Korea,K League 1,2021,Incheon United,Suwon Samsung Bluewings,02/10/21,,https://www.sofascore.com/suwon-samsung-bluewings-incheon-united/Ycdscdd,Ycdscdd,https://www.sofascore.com/api/v1/event/Ycdscdd/h2h/events,"('0-1',)","('0-1',)","('44;',)","('',)","('-44;',)","(9025668,)","('https://www.sofascore.com/api/v1/event/9025668/incidents',)"
South Korea,K League 1,2021,Jeju United,Seongnam FC,03/10/21,,https://www.sofascore.com/seongnam-fc-jeju-united/Zcdsbdd,Zcdsbdd,https://www.sofascore.com/api/v1/event/Zcdsbdd/h2h/events,"('3-1',)","('2-0',)","('68;',)","('88;44;31;',)","('88;44;31;-68;',)","(8464017,)","('https://www.sofascore.com/api/v1/event/8464017/incidents',)"
South Korea,K League 1,2021,Gwangju FC,Pohang Steelers,03/10/21,,https://www.sofascore.com/pohang-steelers-gwangju-fc/addsmDu,addsmDu,https://www.sofascore.com/api/v1/event/addsmDu/h2h/events,"('1-2',)","('0-1',)","('48;45;',)","('88;',)","('88;-48;45;',)","(9921676,)","('https://www.sofascore.com/api/v1/event/9921676/incidents',)"
South Korea,K League 1,2021,FC Seoul,Daegu FC,03/10/21,,https://www.sofascore.com/fc-seoul-daegu-fc/UcdsWcd,UcdsWcd,https://www.sofascore.com/api/v1/event/UcdsWcd/h2h/events,"('0-0',)","('0-0',)","('',)","('',)","('-',)","(8464010,)","('https://www.sofascore.com/api/v1/event/8464010/incidents',)"
South Korea,K League 1,2021,Incheon United,Gangwon FC,06/10/21,,https://www.sofascore.com/incheon-united-gangwon-fc/YcdsvJn,YcdsvJn,https://www.sofascore.com/api/v1/event/YcdsvJn/h2h/events,"('1-1',)","('0-0',)","('78;',)","('74;',)","('74;-78;',)","(9921671,)","('https://www.sofascore.com/api/v1/event/9921671/incidents',)"
South Korea,K League 1,2021,Gangwon FC,Jeju United,10/10/21,,https://www.sofascore.com/jeju-united-gangwon-fc/ZcdsvJn,ZcdsvJn,https://www.sofascore.com/api/v1/event/ZcdsvJn/h2h/events,"('1-0',)","('0-0',)","('',)","('80;',)","('80;-',)","(7619121,)","('https://www.sofascore.com/api/v1/event/7619121/incidents',)"
