country,tournament,year,hometeam,awayteam,time_match,round_match,detail_url,code,api_event_url,FTResult,HTResult,TimeAwayScrore,TimeHomeScrore,DetailScore,match_id,api_detail_url
Turkey,"U19 Lig, Elit A",21/22,Alanyaspor U19,Sivasspor U19,04/12/21,Round 7,https://www.sofascore.com/sivasspor-u19-alanyaspor-u19/FLWbsqFFc,FLWbsqFFc,https://www.sofascore.com/api/v1/event/FLWbsqFFc/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","(9933909,)","('https://www.sofascore.com/api/v1/event/9933909/incidents',)"
Turkey,"U19 Lig, Elit A",21/22,Kasımpaşa U19,Beşiktaş U19,04/12/21,Round 7,https://www.sofascore.com/kasimpasa-u19-besiktas-u19/oCHbsYNXb,oCHbsYNXb,https://www.sofascore.com/api/v1/event/oCHbsYNXb/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","(9933917,)","('https://www.sofascore.com/api/v1/event/9933917/incidents',)"
Turkey,"U19 Lig, Elit A",21/22,Trabzonspor U19,Adana Demirspor U19,04/12/21,Round 7,https://www.sofascore.com/adana-demirspor-u19-trabzonspor-u19/vRWbstFFc,vRWbstFFc,https://www.sofascore.com/api/v1/event/vRWbstFFc/h2h/events,"('3-2',)","('',)","('90;72;',)","('67;36;9;',)","('67;36;9;-90;72;',)","(9933966,)","('https://www.sofascore.com/api/v1/event/9933966/incidents',)"
Turkey,"U19 Lig, Elit A",21/22,Galatasaray U19,Altay SK U19,04/12/21,Round 7,https://www.sofascore.com/altay-sk-u19-galatasaray-u19/trYszvYb,trYszvYb,https://www.sofascore.com/api/v1/event/trYszvYb/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","(9933978,)","('https://www.sofascore.com/api/v1/event/9933978/incidents',)"
Turkey,"U19 Lig, Elit A",21/22,Kayserispor U19,Antalyaspor U19,05/12/21,Round 7,https://www.sofascore.com/antalyaspor-u19-kayserispor-u19/LLWbsDMXb,LLWbsDMXb,https://www.sofascore.com/api/v1/event/LLWbsDMXb/h2h/events,"('1-3',)","('',)","('90;48;6;',)","('50;',)","('50;-90;48;6;',)","(9933916,)","('https://www.sofascore.com/api/v1/event/9933916/incidents',)"
Turkey,"U19 Lig, Elit A",21/22,Fenerbahçe U19,Caykur Rizespor U19,05/12/21,Round 7,https://www.sofascore.com/fenerbahce-u19-caykur-rizespor-u19/wRWbsaBXb,wRWbsaBXb,https://www.sofascore.com/api/v1/event/wRWbsaBXb/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","(9933908,)","('https://www.sofascore.com/api/v1/event/9933908/incidents',)"
Turkey,"U19 Lig, Elit A",21/22,Giresunspor U19,Fatih Karagumruk U19,05/12/21,Round 7,https://www.sofascore.com/fatih-karagumruk-u19-giresunspor-u19/trWbsxxXb,trWbsxxXb,https://www.sofascore.com/api/v1/event/trWbsxxXb/h2h/events,"('2-5',)","('',)","('90;81;51;37;31;',)","('88;63;',)","('88;63;-90;81;51;37;31;',)","(9933977,)","('https://www.sofascore.com/api/v1/event/9933977/incidents',)"
Turkey,"U19 Lig, Elit A",21/22,Hatayspor U19,Istanbul Başakşehir U19,05/12/21,Round 7,https://www.sofascore.com/hatayspor-u19-istanbul-basaksehir-u19/LvjcsuFFc,LvjcsuFFc,https://www.sofascore.com/api/v1/event/LvjcsuFFc/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","(9483633,)","('https://www.sofascore.com/api/v1/event/9483633/incidents',)"
Turkey,"U19 Lig, Elit A",21/22,Göztepe U19,Gaziantep FK U19,16:00,Round 7,https://www.sofascore.com/gaziantep-fk-u19-goztepe-u19/ZrWbsHLWb,ZrWbsHLWb,https://www.sofascore.com/api/v1/event/ZrWbsHLWb/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","(9483640,)","('https://www.sofascore.com/api/v1/event/9483640/incidents',)"
Turkey,"U19 Lig, Elit A",21/22,Konyaspor U19,Yeni Malatyaspor U19,16:00,Round 7,https://www.sofascore.com/yeni-malatyaspor-u19-konyaspor-u19/TJTbsILWb,TJTbsILWb,https://www.sofascore.com/api/v1/event/TJTbsILWb/h2h/events,"('link error',)","('link error',)","('link error',)","('link error',)","('link error',)","(9483653,)","('https://www.sofascore.com/api/v1/event/9483653/incidents',)"
